'\\b((http|ftp)://\\S+[\\w/]|RFC[- ]?(\\d+)|PEP[- ]?(\\d+)|(self\\.)?(\\w+))'	12,287,412,531,602,759,852,961,1054,1087,1221,1509,1511
'\\b((http|ftp)://\\S+[\\w/]|RFC[- ]?(\\d+)|PEP[- ]?(\\d+)|(self\\.)?((?:\\w|\\.)+))\\b'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511,1580
'[\\w.@+-]+$'	302,323,355,422,849,866,878,1004,1495,1517,1532,1634
'(::|\\.\\.|\\(\\)|[/.*:\\[\\]\\(\\)@=])|((?:\\{[^}]+\\})?[^/:\\[\\]\\(\\)@=\\s]+)|\\s+'	12,147,245,287,305,602,1248,1317,1501,1505,1509,1638
'^/[-\\w/]+$'	13,24,25,26,28,35,72,147,181,472
'(?:([\\w ]+) ([\\w.]+) .*Version ([\\d.]+))'	12,287,412,602,759,852,961,1221,1509,1511
'(\\s+|(?<=[\\w\\!\\"\\\'\\&\\.\\,\\?])-{2,}(?=\\w))'	308,322,467,505,534,636,743,1125,1216,1466
'^\\s*prefix\\s+([\\w\\_\\.\\-\\/]+)$'	306,322,464,467,505,534,1300,1404,1466
'[\\-\\s]'	302,849,878,1012,1086,1158,1495,1634
'[-./\\s]'	322,416,467,505,534,1300,1404,1466
'[\\s\\-]+'	302,849,878,1012,1086,1158,1495,1634
'^/([\\w-]+)(/|$)'	849,878,1012,1086,1158,1495,1580,1634
'(\\w+)=([-\\w]+)'	306,322,464,467,505,534,1404,1466
'&.*?;|<.*?>|(\\w[\\w-]*)'	359,849,878,1012,1086,1495,1580,1634
'\\s*def\\s*([_\\w][_\\w\\d]*)\\s*\\('	422,462,690,747,1119,1469,1517,1580
'^\\s*([-\\w]+\\s*:[^:;]*(;\\s*|$))*$'	220,927,1122,1263,1290,1469,1580,1594
'\\b(http|ftp|https)://\\S+(\\b|/)|\\b[-.\\w]+@[-.\\w]+'	12,412,759,852,961,1087,1221,1511
'coding[=:]\\s*([-\\w.]+)'	12,53,1054,1087,1147,1258,1594
'\\s*[-\\w]+\\s*:\\s*[^:;]*;?'	220,454,666,707,927,1003,1247
'([\\d.]+)[^(]*(?:\\((.+)\\))?'	12,412,759,852,961,1221,1511
'(\\s+|[^\\s\\w]*\\w{2,}-(?=\\w{2,})|(?<=[\\w\\!\\"\\\'\\&\\.\\,\\?])-{2,}(?=\\w))'	322,467,505,534,743,1216,1466
'[\\s,]+'	245,262,267,268,560,1085
'^[\\w\\-:\\$]+'	305,407,1025,1322,1326,1505
'\\|([\\w\\|\\-]+)$'	305,407,1025,1322,1326,1505
'\\$\\{([\\w\\-]+)\\}'	305,407,1025,1322,1326,1505
'<\\/([\\w\\:\\-]+)[^>]*>'	305,407,1025,1322,1326,1505
'^<\\/?\\w[\\w\\:\\-]*.*?>'	305,407,1025,1322,1326,1505
'([\\w\\-]+)\\s*=\\s*([\\\'"])(.*?)\\2'	305,407,1025,1322,1326,1505
'^#import[\\s\t]*([^\\s^\t]*)[\\s\t]*$'	546,830,1028,1039,1223,1420
'(.*?[^\\s\\]\\}\\)]+.*?)([\\]\\}\\)],?)\\s*$'	306,322,534,896,1007,1466
'^([\\w\\-]+)(?::([\\w\\-]+))?(?::(\\d+),(\\d+))?$'	306,322,467,505,534,1466
'\\([^()]*\\b(?:[\\w:]|<[^()]*>)+(\\s?&|&\\s?)\\w+'	322,416,467,505,534,1466
'([sS][eE][tT]\\s*\\()\\s*([^\\s]+)\\s+"([^"]+)"\\)'	322,467,505,534,1216,1466
'\\([^()]*\\b(?:[\\w:]|<[^()]*>)+\\s+const(\\s?&|&\\s?)[\\w]+'	322,416,467,505,534,1466
'([\\w.+]+)\\s*\\(#(\\d+),\\s*([\\w ]+),\\s*([\\w :]+)\\)\\s*\\[([^\\]]+)\\]?'	412,759,852,961,1221,1511
'(?:http://)?(?:(?P<user>\\w+):(?P<pass>.*)@)?(?P<host>[\\w\\-\\.]+)(?::(?P<port>\\d+))?'	546,830,1028,1039,1223,1420
'\\([^()]*\\bconst\\s+(?:typename\\s+)?(?:struct\\s+)?(?:[\\w:]|<[^()]*>)+(\\s?&|&\\s?)\\w+'	322,416,467,505,534,1466
'<\\/?[\\w:\\-]+(?:\\s+[\\w\\-:]+(?:\\s*=\\s*(?:(?:"[^"]*")|(?:\\\'[^\\\']*\\\')|[^>\\s]+))?)*\\s*(\\/?)>$'	305,407,1025,1322,1326,1505
'<([\\w\\:\\-]+)((?:\\s+[\\w\\-:]+(?:\\s*=\\s*(?:(?:"[^"]*")|(?:\\\'[^\\\']*\\\')|[^>\\s]+))?)*)\\s*(\\/?)>'	305,407,1025,1322,1326,1505
'[\\s]+'	49,200,317,391,872
'^([\\w\\-:]*)'	143,188,213,1094,1583
'([\\w-]+)([.#])(\\w+)'	1025,1082,1322,1326,1505
'^%[%!\\w]([^:]*)[ \\t]*$'	441,628,1054,1204,1580
'([\\w\\-]+\\s*:)(?!:)\\s*'	305,1025,1322,1326,1505
'(\\s*<[^>]+>[\\s\\n\\r]*)$'	143,188,213,1094,1583
'(.+) release ([\\d.]+)[^(]*(?:\\((.+)\\))?'	287,602,1054,1087,1509
'IronPython\\s*([\\d\\.]+)(?: \\(([\\d\\.]+)\\))? on (.NET [\\d\\.]+)'	287,602,1054,1087,1509
'(\\s+|-*\\w{2,}-(?=\\w{2,})|(?<=[\\w\\!\\"\\\'\\&\\.\\,\\?])-{2,}(?=\\w))'	147,162,171,181,1381
'([\\w.+]+)\\s*\\(#?([^,]+),\\s*([\\w ]+),\\s*([\\w :]+)\\)\\s*\\[([^\\]]+)\\]?'	12,287,602,1054,1509
'^<(\\w+\\:?[\\w\\-]*)((?:\\s+[\\w\\:\\-]+\\s*=\\s*([\\\'"]).*?\\3)*)\\s*(\\/?)>'	305,1025,1322,1326,1505
'\\s*((?<=[\\\'"\\s])[^\\s/>][^\\s/=>]*)(\\s*=+\\s*(\\\'[^\\\']*\\\'|"[^"]*"|(?![\\\'"])[^>\\s]*))?'	873,927,1469,1580,1592
'^<([\\w\\:\\-]+)((?:\\s+[\\w\\-:]+(?:\\s*=\\s*(?:(?:"[^"]*")|(?:\'[^\']*\')|[^>\\s]+))?)*)\\s*(\\/?)>'	305,1025,1322,1326,1505
'[\\W]+'	103,130,574,1340
'^[\\w_]+$'	433,927,1003,1202
'[\\s\\(\\)]+'	167,468,640,659
'^[\\w.@+-]+$'	585,1012,1086,1580
'\\d+[\\.\\d+]+'	287,580,602,1509
'\\(([\\d,]+)\\)'	113,1415,1469,1580
'([\\d\\w\\-_]+)(.*)'	523,946,1116,1484
'([<>]|&(?![^\\s]+;))'	60,64,881,928
'\\-\\-?\\w+[\\-\\w]*$'	422,747,1517,1580
'^[\\S]+@[\\S]+\\.[\\S]+$'	1294,1337,1527,1595
'^#.*coding[:=]\\s*([-\\w.]+)'	747,1340,1517,1580
'#\\s*coding[:=]\\s*([-\\w.]+)'	422,747,1517,1580
'^.*"([\\d\\w_\\+\\.\\-/]+)".*$'	523,946,1116,1484
'asm-([\\w\\d_\\+\\.\\-]+)(/.*)'	523,946,1116,1484
'<img src="(?P<name>[\\d]+)" />'	422,747,1517,1580
"^(\\w[\\s\\w'.-]*)(\\((.*)\\))?"	1263,1290,1580,1594
'^[\\w\\d_]+\\.[\\w\\d_]+\\.\\d+$'	142,193,631,895
'([\\s:])(0)(px|em|%|in|cm|mm|pc|pt|ex)'	568,807,1144,1247
'([\\d\\w\\-_]+)\\s+(\\d+)/(tcp|udp)(.*)'	523,946,1116,1484
'^([\\s*,;/])([\\?\\w\\.\\-\\+]+\\w*\\s*)(\\(?.*$)'	422,602,747,1517
'MatplotlibBox:\\(([\\d.]+)pt\\+([\\d.]+)pt\\)x([\\d.]+)pt'	642,776,971,1203
'^([\\w\\d]([\\w\\d\\-]{0,61}[\\w\\d])?\\.)*[\\w\\d]([\\w\\d\\-]{0,61}[\\w\\d])?$'	422,747,1517,1580
u'\\b((?:([\\w-]+):(/{1,3})|www[.])(?:(?:(?:[^\\s&()]|&amp;|&quot;)*(?:[^!"#$%&\'()*+,.:;<=>?@\\[\\]^`{|}~\\s]))|(?:\\((?:[^\\s&()]|&amp;|&quot;)*\\)))+)'	552,606,800,1469
'[\\s]'	232,959,1276
'[\\W]*'	1007,1015,1032
'^/[-\\w/]*$'	24,25,147
'([\\s\\\\])'	1007,1015,1032
'([\\d\\.]+)'	287,602,1509
u'^[\\w/:+-]+$'	1012,1158,1580
'([\\w-]+):(.+)'	1269,1469,1498
'^[\\w\\.\\-\\/]*$'	122,1015,1032
'[\\s\\{\\}\\[\\]\\(\\)]'	18,1216,1365
'ks\\=[\\w\\d\\:\\.\\/]+'	560,1317,1501
'From .*?([\\w.]+@[\\w.]+)'	1007,1015,1032
'(^|[\\W_])sample\\d*[\\W_]'	1269,1469,1498
'From .*?([\\w.]+\\@[\\w.]+)'	1007,1015,1032
'%.*coding[:=]\\s*([-\\w\\.]+)'	317,428,466
'^([>\\w\\-]+)\\s*:\\s*(.*)\\s*$'	1007,1015,1032
'(?:py.*-)?([\\d\\.]+)(?:-(\\w+))?'	1415,1469,1580
'name=[\'"]{0,1}([-\\w\\.]*?)[\'"]'	247,919,1007
'^.*<(()/[\\d\\w_\\+\\.\\-/]*)>.*$'	523,1116,1484
'^([^:]+): (\\w+) \\(([\\w\\.]+)\\)'	122,1015,1032
'.*?(?:Bcast:|broadcast )([\\d\\.]+)'	947,996,1491
'(?:[^\\s])(\\s*)(?:[-+*/|!<=>%&^]+)(\\s*)'	640,945,1505
'([\\d.]+) ([\\d.]+) ([\\d.]+) (\\d+)/(\\d+)'	1183,1506,1510
'(?:.*\\()?(?P<name>[-\\w*\\.]+)(?:,|\\)?.*)?'	257,1319,1448
'^([,;/%?]|!!?|\\s*)\\s*([\\w\\.]+)(\\s+.*$|$)'	422,602,747
'(?P<name>[\\w-]+)\\s*\\(\\s*(==\\s*)?(?P<ver>[^)]+)\\)$'	1263,1580,1594
'<a href="/nodes/(?P<key>[\\w.]+)">(?P<count>[\\d.]+)</a>'	1183,1506,1510
'(?P<option>[^:=\\s][^:=]*)\\s*(?:(?P<vi>[:=])\\s*(?P<value>.*))?$'	381,1054,1087
'(?:(?P<jarfile>[\\w\\d.\\-\\_\\\\/]+).jar\\:)|(?:\\s*(\\#.*)?)\\s*$'	1007,1015,1032
'(?P<lhs>(\\s*)([\\w\\.]+)((\\s*,\\s*[\\w\\.]+)*))\\s*=\\s*!\\s*(?P<cmd>.*)'	422,747,1517
'(?P<lhs>(\\s*)([\\w\\.]+)((\\s*,\\s*[\\w\\.]+)*))\\s*=\\s*%\\s*(?P<cmd>.*)'	422,747,1517
'(\'[^\']*\'|"[^"]*"|::|//?|\\.\\.|\\(\\)|[/.*:\\[\\]\\(\\)@=])|((?:\\{[^}]+\\})?[^/\\[\\]\\(\\)@=\\s]+)|\\s+'	1054,1087,1580
'(?x)\n    ^\n    (?: (\\w+):                     )?  # optional label at start of line\n        \\s* (\\.?\\w+)                   # optional spaces, (pseudo-)opcode\n    (?: \\s+ ([+-]?\\w+ | \\([^)]*\\)) )?  # optional first immediate operand\n    (?: \\s+ ([\\w,-]+  | \\([^)]*\\)) )?  # optional second immediate operand\n    (?: \\s* (?:\\#.*)               )?  # optional spaces and comment\n    $'	1007,1015,1032
'[-\\s]'	332,689
'[\\W_]'	135,749
"[\\w']+"	440,542
'[\\W_]+'	784,1557
'[,\\s]+'	758,1580
'[\\w ]+'	1317,1501
'[_\\s]+'	959,1276
'[\\d\\.]+'	1317,1501
'^[\\d ]+$'	109,182
'#([\\w-]+)'	1054,1198
'\\\\[\\s.-]'	1269,1498
'(\\.[\\d]+)?$'	296,819
'^([\\w\\.]+)$'	757,1087
'^<([\\w\\.]+)>$'	757,1087
'\\{([-\\w]+)\\}'	391,872
'(\\w+\\d+)[:\\s]'	1317,1501
'Fennec/([\\d.]+)'	391,872
'(\\s*[;,\\s]\\s*)'	147,181
'(?<!&)&(?![&\\s])'	251,1087
'[\\D]*(\\d+)\\w*$'	109,182
'^\\d{10}[\\.\\d]+$'	568,1144
'^[\\s\t\n]*([^\n]*)'	640,659
'# Fadvise: ([\\w]+)'	1116,1141
'^.*?(v[\\d\\.]+).*?$'	305,1025
'([:\\-\\w]*){([^}]+)}'	753,942
'^(Y|X|A|N) ([\\S ]+)$'	109,182
'\\/\\*[\\s\\S]*?\\*\\/'	1025,1322
'\\(CVS\\) ([\\d\\.]+) '	1015,1032
'([+-]?[\\d\\.]+)(\\S+)'	63,401
"^\\d* *([\\w.,'\\s]+)$"	109,182
'repo\\=[\\:\\w\\d\\/]*'	1317,1501
'dot version ([\\d\\.]+)'	757,1087
'((,|^)\\s*[\\w\\-\\.]+)'	757,1087
'^.*?(\\d+)([\\w\\s]+)?$'	1025,1326
'([\\w\\-\\.]+)="([^"]+)"'	640,662
'# Command: [/\\w_]+ (.*)'	1116,1141
"([\\w\\-\\.]+)='([^']+)'"	640,662
'\\[tag:\\s*([\\S]+)\\s*]'	296,819
'<tt class="[\\w+]"></tt>'	757,1087
'%G|\\[m|\\[[\\d;]+[HJnrm]'	1317,1501
'(\\s*[\\w\\W]*?\\.)(\\s|$)'	757,1087
'[\\s\\{\\}\\[\\]\\(\\)\\=]'	602,747
'# Sched features: ([\\w]+)'	1116,1141
'Input #0, ([\\w,]+)?, from'	391,872
'repo\\=cdrom[\\:\\w\\d\\/]*'	1317,1501
'flags\\s+:\\s+([\\w\\s]+)\n'	1317,1501
'([\\w]*)([^:=]*:?=?)([sif]?)'	602,747
'[\\s\\{\\}\\[\\]\\(\\)\\= ,:]'	602,747
'autoyast\\=[\\w\\d\\:\\.\\/]+'	1317,1501
'/projects/([-\\w]+)/([-\\w]+)/'	295,1496
'TOTEM_INFO_VIDEO_CODEC=([\\w]+)'	391,872
'\\s*#+.*coding[:=]\\s*([-\\w.]+)'	640,662
'%\\s*#.*coding[:=]\\s*([-\\w.]+)'	1047,1277
'\\s*:?\\s*([\\w\\.]+\\s*,?\\s*)*'	757,1087
'S(\\s+0.0+){2}.*vhost-\\d+[\\d|+]'	1317,1501
'.*?\\n?.*?coding[:=]\\s*([-\\w.]+)'	757,1087
'Node\\s+.*?zone\\s+\\s+([\\s\\d]+)'	1317,1501
'([\\w-]+[\\w]+)\\s+(\\w+)\\s+(\\w+)'	1317,1501
'\\A@charset "(?P<encoding>[\\w-]+)";'	305,1505
'coding[:=]\\s*(?P<encoding>[-\\w.]+)'	305,1505
'^[\\w.\\*]+([\\s,:;]\\s*[\\w.\\*]+)*$'	757,1087
'(.*)\\.\\[[\\w_\\.\\-]+?\\]\\.torrent'	1269,1498
'^([\\w\\.]+) \\.\\.\\. \\[([^\\]]+)\\]$'	1015,1032
'(?P<currency>\\w+) (?P<amount>[\\d.,]+)'	391,872
'#[\\s]*?(TODO|FIXME|HACK|XXX)[\\s:]?(.+)'	422,1644
'(?:\\s+([\\w-]+)\\s*=\\s*(".*?"|\'.*?\'))'	305,1505
'http(s)?\\://([\\w\\.-]*)(\\:(\\d+))?(/.*)?'	147,181
'^\\d*:\\s+([\\w.]+)(?:@)?(\\w+)?:\\s+<(.+)>'	996,1491
'(?:([\\w ]+) ([\\w.]+) .*\\[.* ([\\d.]+)\\])'	1054,1087
'^#(ifndef|define|endif\\s*//)\\s*[\\w_]+\\s*$'	1007,1301
'href\\s*=\\s*[\'"]?<([\\w\\.]+)>[\'"]?\\s*(,?)'	757,1087
'(([wum]asser(t|ted)))\\s*\\(([^\\d]*)(\\d+)\\s*,?()'	1459,1531
'# <nbformat>(?P<nbformat>\\d+[\\.\\d+]*)</nbformat>'	747,1580
'(?P<name>[\\w .-]+)\\s*\\(\\s*(?P<ver>[^\\s)]+)\\)$'	1263,1580
'^(list|set|sequence|tuple|collection) of ([\\w\\.]+)$'	757,1087
'^(None or|optional) ([\\w\\.]+)$|^([\\w\\.]+) or None$'	757,1087
'^(?P<menu_pk>[-\\w]+)/items/(?P<menu_item_pk>[-\\w]+)$'	477,684
'(\\d+ bytes).*?([\\d\\.]+ s).*?([\\d\\.]+ [KkMmGgTt])B/s'	1317,1501
'^(?P<menu_pk>[-\\w]+)/items/(?P<menu_item_pk>[-\\w]+)/delete$'	477,684
'^(?P<menu_pk>[-\\w]+)/items/(?P<menu_item_pk>[-\\w]+)/history$'	477,684
'^(?P<menu_pk>[-\\w]+)/items/(?P<menu_item_pk>[-\\w]+)/move_up$'	477,684
'use\\s+encoding(?:::source)?\\s+([\'"])(?P<encoding>[\\w-]+)\\1'	305,1505
'^(dict|dictionary|map|mapping) from ([\\w\\.]+) to ([\\w\\.]+)$'	757,1087
'^(?P<menu_pk>[-\\w]+)/items/(?P<menu_item_pk>[-\\w]+)/move_down$'	477,684
'^\\s*([\\w\\s\\*]+)\\(\\s*\\*\\s*(\\w+)\\s*\\)\\s*\\(([^()]*)\\);'	1054,1198
'(([wum]asser(t|ted))) *\\(( *)(\\d+) *,\\s*([\\S\\s+<\\(\\)"]+) *,?.*'	1459,1531
'(?P<lhs>(\\s*)([\\w\\.]+)((\\s*,\\s*[\\w\\.]+)*))\\s*=\\s*!(?P<cmd>.*)'	422,1517
'(?P<lhs>(\\s*)([\\w\\.]+)((\\s*,\\s*[\\w\\.]+)*))\\s*=\\s*%(?P<cmd>.*)'	422,1517
'(?P<title>.+) (\\((class in )?(?P<id>[\\w\\.]+)( (?P<descr>\\w+))?\\))$'	251,1087
'(\\d+\\.\\d+\\.\\d+\\.\\d+|\\W:{2}\\d\\W):\\d+,\\d+\\s+([\\w\\.\\-:\\d]+)'	1317,1501
'\\d+-\\d+-\\d+([\\s|T|t]\\d+:\\d+:\\d+.\\d+(Z|(\\s?[\\-|\\+]\\d+:\\d+)))?'	171,1381
'\\b(([\\w-]+://?|www[.])[^\\s()<>]+(?:\\([\\w\\d]+\\)|([^[:punct:]\\s]|/)))'	274,573
'([\\w.+]+)\\s*\\(#?([^,]+),\\s*([\\w ]+),\\s*([\\w :]+)\\)\\s*\\[PyPy [^\\]]+\\]?'	1054,1087
'^((http[s]?):\\/)#?\\/?([^:\\/\\s]+)((\\/[\\w\\-\\.]+)*\\/)*([\\w\\-\\.]+[^#?\\s]+)'	1028,1039
'pip \\d(\\.[\\d])+(\\.?(rc|dev|pre|post)\\d+)? from (.*) \\(python \\d(.[\\d])+\\)$'	1263,1290
'^(dict|dictionary|map|mapping) from ([\\w\\.]+) to (list|set|sequence|tuple|collection) of ([\\w\\.]+)$'	757,1087
'\\s*(?P<name>.+?)\\s*=\\s*(?P<module>[\\w.]+)\\s*(:\\s*(?P<attr>[\\w.]+))?\\s*(?P<extras>\\[.*\\])?\\s*$'	1263,1580
'^((?P<retval>[^=]+?)\\s*=|class)?\\s*(?P<head>[\\w\\.]+\\s?\\(.*?\\))\\s*(?P<sep>[:<>=-]*)\\s*(?P<tail>.*)$'	305,1505
u'^\\s*(?:(?:else )?if|for|switch|while|with)\\s*\\(.+\\)\\s*(?:[\\w_]|\\[).+(;)\\s*(?://.*|/\\*.*\\*/\\s*)?$'	1025,1322
'(\'[^\']*\'|"[^"]*"|::|//?|\\.\\.|\\(\\)|[/.*:\\[\\]\\(\\)@=])|((?:\\{[^}]+\\})?[^/:\\[\\]\\(\\)@=\\s]+)|\\s+'	72,1087
'\n        (<meta\n        (?:\\s+[\\w-]+\\s*=\\s*(?:".*?"|\'.*?\'))+  # attributes\n        \\s*/?>)\n        '	305,1505
'(?x)\n    \\%\n        (?:\\(([\\w]*)\\))?\n        (\n            [-#0\\ +]?(?:\\*|[\\d]+)?\n            (?:\\.(?:\\*|[\\d]+))?\n            [hlL]?\n        )\n        ([diouxXeEfFgGcrs%])\n'	636,1125
'^(?P<filetype>.)(?P<perms>.{9})\\s+(?P<nlinks>\\d*)\\s*(?P<owner>\\S+)\\s+(?P<group>\\S+)\\s+(?P<size>\\d+)\\s+(?P<date>...\\s+\\d+\\s+[\\d:]+)\\s+(?P<filename>([^ ]|\\\\ )*?)( -> (?P<linktarget>[^\\r]*))?\\r?$'	1223,1420
'FOREIGN KEY \\((.*?)\\) REFERENCES (?:(.*?)\\.)?(.*?)\\((.*?)\\)[\\s]?(MATCH (FULL|PARTIAL|SIMPLE)+)?[\\s]?(ON UPDATE (CASCADE|RESTRICT|NO ACTION|SET NULL|SET DEFAULT)+)?[\\s]?(ON DELETE (CASCADE|RESTRICT|NO ACTION|SET NULL|SET DEFAULT)+)?[\\s]?(DEFERRABLE|NOT DEFERRABLE)?[\\s]?(INITIALLY (DEFERRED|IMMEDIATE)+)?'	1415,1580
'[\\W]'	1076
'[,\\s]'	220
'[\\s]*'	1201
'[\\s:]'	1308
'[\\s-]'	1140
'[\\s(]'	1248
'[\\d-]'	832
'[/\\s]'	534
':[\\s]+'	49
'[x\\d]Q'	1190
'[\\w/]+'	1501
'[\\w-]+'	200
'[-\\d.]'	557
'[\\s:/_]'	173
'[\\s,;:]'	560
'[;,\\s]+'	1258
'[\\s().]'	1199
'"[\\s]*"'	1205
u'[\\W_]*'	506
'[-.\\d]+'	356
':[\\s]*$'	126
'[;\\s,]+'	1258
'([\\s]+)'	1240
'[\\s\\.]'	247
'^[\\w ]+$'	819
'[\\w\\d]*'	1594
'[\\w\\d]+'	215
'[\\w\\.]+'	1248
'[-\\d\\.]'	135
u'[\\d\\.]'	782
'[\\t\\s]+'	735
'[\\w.]+\\('	283
'^([-\\w]+)'	560
'([;,\\s]+)'	1258
'[\\w\\d.]+'	1147
'@([\\w]+)@'	356
'<([\\w]*)>'	356
'^[\\w]+://'	1363
"[\\s'\\\\]"	1520
'^[\\d.:]+$'	741
'[\'"\\s;]+'	1247
'^[\\w._-]+'	727
'([\\w._-]+)'	727
'([\\w_:]+)<'	1007
'([\\W\\-]+)'	360
'([\\w\\d]+)'	1147
'[\\s.,;_-]+'	1054
'([\\d]+) bp'	681
'([\\d]+) BP'	681
'#([\\w\\-]+)'	1247
'[\\s+\\n\\t]'	1593
'([.\\w]+)[.]'	1621
'([\\"\'\\s])'	1571
'[\\(\\)\\s]+'	1330
'[\\d+.\\-]+$'	1248
'-t ([/\\w]+)'	1381
'^[-\\.\\w]+='	560
'^[-\\.\\w]+$'	560
'^/([\\w-]+)/'	302
'^[\\w{@}-]+$'	1007
'[\\w-]+\\..+'	1381
'^\\$[\\w=]+$'	175
'\\([\\d,]+\\)'	1469
'^[\\w\\-\\:]+'	1247
'(^[\\d].*) \n'	1563
'^([\\w\\d_]+)'	576
'[\\s\n\r]*\\Z'	1302
'as\\s+[\\w.]+'	1248
'^[\\w,./=-]*$'	244
'[\\d.]+[ ]*\n'	1101
'V ([\\d\\.]+)'	1192
'[\\(\\)\\s,]+'	1330
'^[\\w\\.\\-]+$'	1205
'\\.([\\w\\-]+)'	1247
'[\\w]+="[^"]+"'	1076
'^[\\w\\-\\_]+$'	1313
'^[^:]*[\\d:]+$'	741
'^[\\w/:\\.-]*$'	360
'\\d[.\\d]+\\d$'	1051
'[\\s\\S]*<TEXT>'	1248
'^([\\w\\_\\:]+)'	1247
'\\([:, \\w]+\\)'	1571
'^[\\w\\-\\:%]+$'	1025
'([\\w\\d_]+)\\Z'	576
"[\\w\\-\\'_/&]+"	255
'&(?!([#\\w]*;))'	1638
'[\\w\\d\\-_\\.]+'	1107
'GPU\\s([\\d.-]+)'	540
'<City>([\\w ]+)<'	506
'Name=([\\w\\.]+)'	1412
'^[-+*.\\w]{,32}$'	872
'\\([\\d:, ]+\\)$'	1571
'[\\w\\d_\\.\\-]+'	1258
'</TEXT>[\\s\\S]*'	1248
'^\\s*[\\w-]+\\s*$'	602
'\\(([\\d\\.]+)\\)'	1397
'[\\w_]+\\.[\\w_]+'	1247
'([\\d]+) ([\\d]+)'	1192
u'\\x1b\\[[\\d;]+m'	1007
'([\\S]+)=([\\S]+)'	356
'[ \t]*\\[[\\w]+ $'	626
'^[\\w][\\w\\d.]*$'	1594
'^(\\s*)(-)?[\\w]*'	1025
'Firefox/([\\d.]+)'	391
'([\\d.]+)([^\\s]+)'	899
'(\\\\\\*)([\\w ]+)'	1192
'\\w*\\([\\w, ]*\\)'	232
'V :\\s*([\\d.]+).*'	1437
'/[ ]*[\\d.]+[ ]*kg'	1101
'\\\\((?![enr\\d]))'	135
