'^(def|class)\\s+'	167,468,640,659,703,1322
'&(?!(\\w+|#\\d+);)'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1158,1184,1495,1517,1580,1634
'_\\(((?:".*?")|(?:\'.*?\'))\\)'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1158,1184,1495,1517,1580,1634
'(?:<p>(?:&nbsp;|\\s|<br \\/>)*?</p>\\s*)+\\Z'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1158,1184,1495,1517,1580,1634
'\\$(\\w+|\\{[^}]*\\})'	12,251,287,381,412,422,602,662,759,800,852,961,1033,1054,1087,1221,1509,1511,1517
'(?:^|(?<=[\\.\\?\\!] ))([a-z])'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1184,1495,1517,1580,1634
'^(25[0-5]|2[0-4]\\d|[0-1]?\\d?\\d)(\\.(25[0-5]|2[0-4]\\d|[0-1]?\\d?\\d)){3}$'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1158,1495,1517,1580,1634
'^\\s*blocktrans(?:\\s+|$)'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1158,1184,1495,1517
'(\\\'[^\\\']*\\\'|"[^"]*")\\s*'	12,43,287,330,381,412,510,602,759,774,852,961,1054,1087,1221,1509,1511,1580
'^\\s*trans\\s+((?:".*?")|(?:\'.*?\'))\\s*'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1158,1184,1495,1517
'\n        \\$(?:\n          (?P<escaped>\\$)              |   # Two $ signs\n          (?P<named>[_a-z][_a-z0-9]*)  |   # $name format\n          {(?P<braced>[^}]*)}              # ${name} format\n        )\n        '	119,332,436,602,642,689,730,747,927,971,1003,1007,1015,1032,1203,1256,1269,1498
'/Python(?:-32|-64)*$'	181,524,661,740,764,868,971,1007,1015,1017,1032,1061,1123,1170,1282,1518,1557
'((^|[^%])(%%)*%[sy])'	302,323,355,422,425,849,866,878,1004,1012,1086,1158,1184,1495,1517,1580,1634
'href=(?:"([^"]*)"|\'([^\']*)\'|([^>\\s\\n]*))'	251,422,662,800,1033,1104,1188,1257,1263,1290,1386,1415,1517,1536,1580,1594,1634
'&(?:\\w+|#\\d+);'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1580,1634
'\\s*((\\w|[-.])+)'	287,487,498,602,662,1033,1087,1257,1263,1415,1469,1509,1536,1580,1594,1634
'(?:W/)?"((?:\\\\.|[^"])*)"'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1580,1634
'<(/|\\Z)'	12,43,287,330,381,412,602,759,852,961,1054,1087,1221,1509,1511
'<(/)?([^ ]+?)(?: (/)| .*?)?>'	82,89,302,323,355,422,866,1004,1021,1074,1075,1184,1468,1495,1517
'\\s*(<=?|>=?|==|!=)\\s*((\\w|[-.])+)'	287,487,498,602,662,1033,1087,1257,1415,1469,1509,1536,1580,1594,1634
'&#(?:[0-9]+|[xX][0-9a-fA-F]+)[^0-9a-fA-F]'	12,43,287,381,412,602,759,852,961,1054,1087,1221,1509,1511,1580
'^0\\d(\\s|\\.)?(\\d{2}(\\s|\\.)?){3}\\d{2}$'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1634
'^(?P<idnumber>\\w{8})(?P<pos9>(\\d{1}|<))(?P<checksum>\\d{1})$'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1634
'^(.*?)-(dev|\\d.*)'	251,422,662,800,1104,1188,1257,1290,1386,1415,1517,1536,1594,1634
'^(\\d{9}|(00|\\+)\\d*)$'	302,323,355,422,849,866,878,1004,1012,1086,1158,1495,1517,1634
'^(\\+62|0)[2-9]\\d{7,10}$'	302,323,355,422,849,866,878,1004,1012,1086,1158,1495,1517,1634
'(.*/|)([^/]+\\.[a-z]+:\\d+):(\\d+:)? warning:'	1040,1103,1105,1106,1131,1237,1306,1356,1400,1556,1610,1622,1624,1627
'\\s*([a-zA-Z_][-:.a-zA-Z_0-9]*)(\\s*=\\s*(\\\'[^\\\']*\\\'|"[^"]*"|[][\\-a-zA-Z0-9./,:;+*%?!&$\\(\\)_#=~\\\'"@]*))?'	12,287,412,510,602,759,774,852,961,1054,1087,1221,1509,1511
u'--.*([\\n\\Z]|$)'	302,323,355,422,849,866,878,1004,1184,1273,1495,1517,1634
'"(?:[^"\\\\]|\\\\.)*"'	12,287,356,412,602,759,852,961,1054,1087,1221,1509,1511
"'(?:[^'\\\\]|\\\\.)*'"	12,287,356,412,602,759,852,961,1054,1087,1221,1509,1511
'&#(?P<char>[0-9]+[^0-9]|x[0-9a-fA-F]+[^0-9a-fA-F])'	12,287,381,412,602,759,852,961,1054,1087,1221,1509,1511
'((\\\\[\\\\abfnrtv\\\'"]|\\\\[0-9]..|\\\\x..|\\\\u....)+)'	12,287,412,531,602,759,852,961,1054,1087,1221,1509,1511
'\\b((http|ftp)://\\S+[\\w/]|RFC[- ]?(\\d+)|PEP[- ]?(\\d+)|(self\\.)?(\\w+))'	12,287,412,531,602,759,852,961,1054,1087,1221,1509,1511
'^([:,;#%.\\sa-zA-Z0-9!]|\\w-\\w|\'[\\s\\w]+\'|"[\\s\\w]+"|\\([\\d,\\s]+\\))*$'	220,454,666,707,927,1003,1122,1247,1263,1290,1469,1580,1594
'^(\\+90|0)? ?(([1-9]\\d{2})|\\([1-9]\\d{2}\\)) ?([2-9]\\d{2} ?\\d{2} ?\\d{2})$'	302,323,355,422,849,866,878,1012,1086,1158,1495,1517,1634
'\\b((http|ftp)://\\S+[\\w/]|RFC[- ]?(\\d+)|PEP[- ]?(\\d+)|(self\\.)?((?:\\w|\\.)+))\\b'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511,1580
'\\s*([a-zA-Z_][-.:a-zA-Z_0-9]*)(\\s*=\\s*(\\\'[^\\\']*\\\'|"[^"]*"|[-a-zA-Z0-9./,:;+*%?!&$\\(\\)_#=~@]*))?'	12,287,381,412,602,759,852,961,1054,1087,1221,1509,1511
'(?:\\r\\n|\\n|\\r(?!\\n))'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511
'^\\s*(>>>|\\.\\.\\.) (.*)$'	339,356,538,642,670,776,832,971,1000,1203,1288,1299
'((^|;)\\s*charset=)([^;]*)'	22,38,60,64,72,94,790,881,928,1068,1150,1169
'(\\w+)[-_](release|version)'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511
'&(#(\\d+|x[\\da-fA-F]+)|[\\w.:-]+);?'	345,383,662,1033,1087,1257,1415,1536,1557,1580,1594,1634
'^(From |[\\041-\\071\\073-\\176]{1,}:|[\\t ])'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511
'^(content-type:.*charset=")(us-ascii|iso-8859-[0-9]+)(".*)'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511
'.*?(?=$|\\$\\$)'	416,592,852,896,994,1007,1301,1403,1511,1560,1598
'\\nStack trace:\\n(.|\\n)*'	416,592,852,896,994,1007,1301,1403,1511,1560,1598
'Stack trace:(.|\\n)*?\\n\\n'	416,592,852,896,994,1007,1301,1403,1511,1560,1598
'.*[/\\\\](.+)(\\:\\d+|\\(\\d+\\))\\: '	416,592,852,896,994,1007,1301,1403,1511,1560,1598
'([-_a-zA-Z0-9]+)(\\s*.*?)(?=,\\s+(?:/|-|--)|$)'	95,302,849,878,1004,1012,1086,1158,1495,1525,1578
'(\r\n|\r|\n)$'	12,287,412,602,759,852,961,1221,1509,1511
'(^|[^\\\\])\\.'	12,287,412,602,759,852,961,1221,1509,1511
'\\$Port([^=]|$)'	12,412,759,774,852,961,1087,1221,1511,1580
'(?:\\r\\n|\\r|\\n){2,}'	585,992,1104,1257,1349,1386,1415,1469,1536,1580
"'(\\\\.[^\\\\]*|[^\\\\])'"	12,412,759,852,961,1054,1087,1221,1511,1580
'/\\*([^*]+|\\*+[^/])*(\\*+/)?'	12,412,759,852,961,1054,1087,1221,1511,1580
'^[ \t]*(def|class)[ \t]+([a-zA-Z0-9_]+)[ \t]*[:\\(]'	12,412,759,852,961,1054,1087,1221,1511,1580
'<!ENTITY +(\\w+) +CDATA +"([^"]+)" +-- +((?:.|\n)+?) *-->'	12,412,759,852,961,1054,1087,1221,1511,1580
'^[ \\t]*(def|class)[ \\t]+([a-zA-Z_][a-zA-Z0-9_]*)[ \\t]*[:\\(]'	12,412,759,852,961,1054,1087,1221,1511,1580
'^@([a-z]+)([ \t]|$)'	12,412,759,852,961,1054,1087,1221,1511
'^\\s*\\*\\w+(\\+\\+|--);'	322,416,467,505,534,1199,1300,1404,1466
'\\\\document(style|class)'	308,322,389,467,505,534,743,1216,1466
'(import|from)\\s+markupsafe\\b'	251,252,1087,1104,1257,1386,1469,1495,1536
'(\\\\*)(\\(\\?P<[^>]*>|\\((?!\\?))'	317,559,921,1047,1095,1234,1277,1580,1592
'^\\$([_a-zA-Z]\\w*|{[_a-zA-Z]\\w*})$'	308,322,389,467,505,534,743,1216,1466
'(?:definitely|indirectly|possibly) lost: '	306,322,464,467,505,534,1300,1404,1466
'\\\\([abfnrtv?"\\\\\\\']|\\d+|x[0-9a-fA-F]+)'	322,416,467,505,534,1199,1300,1404,1466
'(^|\\n)(?P<level>#{1,6})(?P<header>.*?)#*(\\n|$)'	236,247,552,606,919,1007,1223,1395,1420
'^\\* ([^:]*):(:|[ \t]*([^\t,\n.]+)([^ \t\n]*))[ \t\n]*'	12,412,759,852,961,1054,1087,1221,1511
'\\\\(ABC|ASCII|C|Cpp|EOF|infinity|NULL|plusminus|POSIX|UNIX)\\s'	12,412,759,852,961,1054,1087,1221,1511
'^(.+?):(\\d+): DeprecationWarning: classic (int|long|float|complex) division$'	12,412,759,852,961,1054,1087,1221,1511
'((?:0x[0-9a-fA-F]+\\+?)+)\\s+((?:(?:0x[0-9a-fA-Z]+|<[A-Za-z]+>)\\+?)*)\\s*(#.+)?'	12,412,759,852,961,1087,1221,1511,1580
'(x|i[3-6])86$'	306,322,464,467,505,534,1404,1466
'((a)|(b))(c)?'	12,412,759,852,961,1087,1221,1511
'^/([\\w-]+)(/|$)'	849,878,1012,1086,1158,1495,1580,1634
'^(?:(a)|c)(\\1)$'	12,412,759,852,961,1087,1221,1511
'^(?:(a)|c)(\\1)?$'	12,412,759,852,961,1087,1221,1511
'(a)(?!\\s(abc|a))'	12,412,759,852,961,1087,1221,1511
'(a)(?=\\s(abc|a))'	12,412,759,852,961,1087,1221,1511
"_(\\w(\\w|')*)_(.*)"	533,896,1007,1015,1032,1172,1428,1493
'^(0|-?[1-9][0-9]*)$'	306,322,467,505,534,896,1007,1466
'^\\$\\((.*)\\)(/(.*)|)$'	306,322,467,505,534,896,1007,1466
"\\*(\\w(\\w|')*)\\*(.*)"	533,896,1007,1015,1032,1172,1428,1493
'\\{%\\s*(block|extends)'	113,147,181,251,498,1087,1267,1555
'(^|\\n)[ ]{0,3}>[ ]?(.*)'	236,247,552,606,919,1007,1223,1420
'(Okay|[EW]\\d{3}):\\s(.*)'	304,640,662,842,945,1199,1322,1505
'((\\w|\\.)+)\\((\\d+)\\):'	416,852,994,1007,1301,1511,1560,1598
'^(Keyed)?(Call|Load|Store)IC_'	306,322,464,467,505,534,1300,1466
'^(?:(?:00|\\+)386|0)(\\d{7,8})$'	302,849,878,1012,1086,1158,1495,1634
'^([a-f0-9]+)\\s(?:t|T)\\s(\\S+)$'	306,322,464,467,505,534,1404,1466
'(?:(?P<a1>a)|(?P<b2>b))(?P<c3>c)?'	12,412,759,852,961,1087,1221,1511
'operator(==|!=|<|<<|<=|>=|>>|>)\\('	322,416,467,505,534,1300,1404,1466
'^\\s*([-\\w]+\\s*:[^:;]*(;\\s*|$))*$'	220,927,1122,1263,1290,1469,1580,1594
'([Ww]/)?(?:"(.*?)"|(.*?))(?:\\s*,\\s*|$)'	992,1104,1257,1386,1415,1469,1536,1580
'&(?:([a-zA-Z][-.a-zA-Z0-9]*)|#([0-9]+))(;?)'	12,287,510,602,774,1054,1087,1509
'----- (Start|End) Table ([A-Z](.[0-9])+) -----'	12,412,759,852,961,1087,1221,1511
'(sha1|sha224|sha384|sha256|sha512|md5)=([a-f0-9]+)'	1257,1263,1290,1386,1415,1536,1580,1594
'^\\s+.*context\\s+((?:"[^"]*?")|(?:\'[^\']*?\'))\\s*'	849,878,1012,1086,1158,1495,1580,1634
'^(\\+385|00385|0)(?P<prefix>\\d{2})(?P<number>\\d{6,7})$'	302,849,878,1012,1086,1158,1495,1634
'^(#[0-9a-f]+|rgb\\(\\d+%?,\\d*%?,?\\d*%?\\)?|\\d{0,2}\\.?\\d{0,2}(cm|em|ex|in|mm|pc|pt|px|%|,|\\))?)$'	220,927,1122,1263,1290,1469,1580,1594
'\\s*([a-zA-Z_][-.:a-zA-Z_0-9]*)(\\s*=\\s*(\\\'[^\\\']*\\\'|"[^"]*"|[-a-zA-Z0-9./:;+*%?!&$\\(\\)_#=~]*))?'	43,330,412,759,852,961,1221,1511
'(([a-zA-Z0-9\\_\\-\\.\\+]+)@((\\[[0-9]{1,3}\\.[0-9]{1,3}\\.[0-9]{1,3}\\.)|(([a-zA-Z0-9\\-]+\\.)+))([a-zA-Z]{2,4}|[0-9]{1,3})(\\]?))'	147,181,190,325,582,622,915,1597
'(\\\\*)(?:(?::([a-zA-Z_][a-zA-Z_0-9]*)?()(?:#(.*?)#)?)|(?:<([a-zA-Z_][a-zA-Z_0-9]*)?(?::([a-zA-Z_]*)(?::((?:\\\\.|[^\\\\>]+)+)?)?)?>))'	559,921,1047,1095,1234,1277,1580,1592
'^(?:\\.\\s*(include|undef|error|warning|if|else|elif|endif|for|endfor)|\\s*(ifeq|ifneq|ifdef|ifndef|else|endif|-?include|define|endef|:))(?=\\s)'	113,147,181,251,498,1087,1267,1555
'\n    ((?P<name>\\w+)\\s*=\\s*)?\n    (?P<value>\n        True|False|\n        \\d+.\\d+|\n        \\d+.|\n        \\d+|\n        \\w+|\n        [urUR]?(?P<stringval>"[^"]*?"|\'[^\']*\')\n    )\\s*,\n'	992,1104,1257,1386,1415,1469,1536,1580
'\\s*(#|$)'	560,562,594,737,1087,1115,1248
'(?:^|\\n)\\s*//'	323,355,422,866,1004,1495,1517
'( |\\n|^)\\.\\. '	147,162,181,251,619,1087,1267
'a(?:b|(c|e){1,2}?|d)+?(.)'	12,412,759,852,1087,1221,1511
'[ \n]*{(([^{}}]|{[^}]*})*)}'	12,412,759,852,961,1221,1511
'^[ ]{4,7}((\\d+\\.)|[*+-])[ ].*'	247,552,606,919,1007,1223,1420
'^[ ]{0,3}((\\d+\\.)|[*+-])[ ](.*)'	247,552,606,919,1007,1223,1420
'&(?!#\\d+;|#x[0-9a-fA-F]+;|\\w+;)'	220,454,666,707,927,1003,1247
'&(?!#?[xX]?(?:[0-9a-fA-F]+|\\w+);)'	55,200,552,606,1223,1247,1420
'^//(\\s*)TODO(\\(.+?\\))?:?(\\s|$)?'	322,416,467,505,534,1404,1466
'[\\\\]([a-zA-Z]+[*]?) ?({|\\s*\\n?)'	12,412,759,852,961,1221,1511
'(?:\x1b\\[([0-9?;]*)([a-zA-Z])|([^\x1b]+))'	322,467,505,534,712,1216,1466
'&(?:([a-zA-Z][-.a-zA-Z0-9]*)|#(x?[0-9a-fA-F]+))(;?)'	55,225,287,510,602,774,1509
'  \\\\item (.*) [(](.*)[)]((?:(?:, \\d+)|(?:, \\\\[a-z]*\\{\\d+\\}))+)'	12,412,759,852,961,1221,1511
'^(acc|borland|como|cw|dmc|darwin|gcc|hp_cxx|intel|kylix|vc|mgw|qcc|sun|vacpp)\\d*$'	322,467,505,534,712,1216,1466
'^[ \t]*(#|%:)[ \t]*(ifdef|ifndef|if|else|elif|endif|include|import|define|undef|pragma)[ \t]*(.*)\r*$'	322,467,505,534,712,1216,1466
'(?P<replace>(?P<type>>(?:(?:!?@?)|\\|)?)(?P<command_string>[-a-zA-Z0-9_.]+)?\\((?P<is_array>\\s*\\[?)(?P<content>.*?)(\\]?)\\))'	306,322,467,505,534,1007,1466
'(?P<replace>(?P<type><(?:(?:!?@?)|\\|)?)(?P<command_string>[-a-zA-Z0-9_.]+)?\\((?P<is_array>\\s*\\[?)(?P<content>.*?)(\\]?)\\))'	306,322,467,505,534,1007,1466
'(([a-zA-Z0-9\\_\\-\\.\\+]+)@((\\[[0-9]{1,3}\\.[0-9]{1,3}\\.[0-9]{1,3}\\.)|(([a-zA-Z0-9\\-]+\\.)+))([a-zA-Z]{2,4}|[0-9]{1,3})(\\]?))(\\?subject=\\S+)?'	220,454,666,707,927,1003,1247
'(?x)\n(?P<location>^.*)(?:^|/)\n(?P<name>\n    (?P<shortname>\\w+?)\n    (?:\\.(?P<version>[^._]+))?\n    (?:_(?P<suffix>[^._]+))?\n    \\.dylib$\n)\n'	12,287,602,1054,1087,1509,1580
'(?x)\n(?P<location>^.*)(?:^|/)\n(?P<name>\n    (?P<shortname>\\w+).framework/\n    (?:Versions/(?P<version>[^/]+)/)?\n    (?P=shortname)\n    (?:_(?P<suffix>[^_]+))?\n)$\n'	12,287,602,1054,1087,1509,1580
'^\n        (?P<prefix>(?:[^\\r\\n|\\n|\\r])*?)\n        [\\ \\t]*Local\\ Variables:[\\ \\t]*\n        (?P<suffix>.*?)(?:\\r\\n|\\n|\\r)\n        (?P<content>.*?\\1End:)\n        '	305,552,606,1223,1247,1420,1505
'\n    ^\n    [ \\t]*\n    (?: while\n    |   else\n    |   def\n    |   return\n    |   assert\n    |   break\n    |   class\n    |   continue\n    |   elif\n    |   try\n    |   except\n    |   raise\n    |   import\n    |   yield\n    )\n    \\b\n'	12,287,602,1054,1087,1509,1580
'(a|b)*?c'	12,412,759,852,1221,1511
'^.*\\.(c|cpp)$'	412,759,852,961,1221,1511
'&(?:\\w+|#\\d);'	82,89,1004,1074,1075,1495
'(?i)\\.(gif|jpg)$'	302,849,878,1012,1086,1158
'(plugins.*|scripts.*)$'	412,759,852,961,1221,1511
'\\s*else\\s*:\\s*(#|$)'	560,562,594,1087,1115,1248
'-isysroot\\s+\\S+(\\s|$)'	1054,1087,1263,1290,1580,1594
'[-+]?(\\d+|\\d*\\.\\d+)$'	82,89,1004,1074,1075,1495
'&#(\\d+|[xX][0-9a-fA-F]+);'	454,666,707,927,1003,1247
'\x1b\\[((?:\\d|;)*)([a-zA-Z])'	1263,1290,1580,1594,1612,1633
'^\\s*(<(?P<a>.*)>|"(?P<b>.*)")'	294,322,467,505,534,1466
'.*(kind=)(album|tag|photo|comment)'	147,181,254,438,594,790
'^(["\\\'])((?:(?!\\1)[^\\\\]|\\\\.)*)\\1'	305,407,1025,1322,1326,1505
'^\\s*(<=|>=|<|>|!=|==)\\s*([^\\s,]+)\\s*$'	12,287,602,1054,1087,1509
'^[ \t]*(#|%:)[ \t]*(include)[ \t]*(.*)\r*$'	294,322,467,505,534,1466
'\\\\(\\\'|\\"|\\\\|[abfnrtv]|x.{0,2}|[0-7]{1,3})'	101,251,602,1054,1087,1580
'\\([^()]*\\b(?:[\\w:]|<[^()]*>)+(\\s?&|&\\s?)\\w+'	322,416,467,505,534,1466
'([a-zA-Z][a-zA-Z_-]*)\\s*(?:=(?:"([^"]*)"|([^ \\t",;]*)))?'	82,89,1004,1074,1075,1495
'\\([^()]*\\b(?:[\\w:]|<[^()]*>)+\\s+const(\\s?&|&\\s?)[\\w]+'	322,416,467,505,534,1466
'(?<!\\\\)<%(?:(#)|(py(?:thon)?\\b)|(?:\\s*(\\w+))\\s*)(.*?)\\s*%>\\n?(?s)'	992,1104,1257,1386,1469,1536
'\\([^()]*\\bconst\\s+(?:typename\\s+)?(?:struct\\s+)?(?:[\\w:]|<[^()]*>)+(\\s?&|&\\s?)\\w+'	322,416,467,505,534,1466
'<\\/?[\\w:\\-]+(?:\\s+[\\w\\-:]+(?:\\s*=\\s*(?:(?:"[^"]*")|(?:\\\'[^\\\']*\\\')|[^>\\s]+))?)*\\s*(\\/?)>$'	305,407,1025,1322,1326,1505
'<([\\w\\:\\-]+)((?:\\s+[\\w\\-:]+(?:\\s*=\\s*(?:(?:"[^"]*")|(?:\\\'[^\\\']*\\\')|[^>\\s]+))?)*)\\s*(\\/?)>'	305,407,1025,1322,1326,1505
'^(?P<year>\\d{4})-(?P<month>\\d{2})-(?P<day>\\d{2})(T|\\s+)(?P<hour>\\d{2}):(?P<minute>\\d{2}):(?P<second>\\d{2}).*?$'	631,890,895,1175,1369,1644
'\n    ^\n    [ \\t]*\n    (?: if\n    |   for\n    |   while\n    |   else\n    |   def\n    |   return\n    |   assert\n    |   break\n    |   class\n    |   continue\n    |   elif\n    |   try\n    |   except\n    |   raise\n    |   import\n    |   yield\n    )\n    \\b\n'	412,759,852,961,1221,1511
'\n  =\\?                   # literal =?\n  (?P<charset>[^?]*?)   # non-greedy up to the next ? is the charset\n  \\?                    # literal ?\n  (?P<encoding>[qb])    # either a "q" or a "b", case insensitive\n  \\?                    # literal ?\n  (?P<encoded>.*?)      # non-greedy up to the next ?= is the encoded string\n  \\?=                   # literal ?=\n  (?=[ \\t]|$)           # whitespace or the end of the string\n  '	12,287,602,1054,1087,1509
'^((-){80}|)$'	54,111,132,1030,1089
'(.+?)(\\s|$)'	305,1025,1322,1326,1505
'(final|stable)$'	1263,1290,1469,1580,1594
'-(a|b|c)(\\d+)$'	1263,1290,1469,1580,1594
'\\d+>(?=\\s|\\Z)'	251,498,1087,1267,1555
'((\\t)|(    ))(.*)'	236,247,919,1007,1395
'\\s*\\*(\\s+|(?!/))'	322,467,505,534,1466
'[\\.\\-](dev|devel)$'	1263,1290,1469,1580,1594
'\\.?(r|-|-r)\\.?(\\d+)$'	1263,1290,1469,1580,1594
'^lib([^/]+)\\.(a|dylib)$'	467,505,534,1007,1466
'\\s+{(\\d+), (0|"\\w+")},$'	101,602,1054,1087,1580
'\\.?(pre|preview|-c)(\\d+)$'	1263,1290,1469,1580,1594
'\\.?(dev|git|bzr)\\.?(\\d+)$'	1263,1290,1469,1580,1594
'\\.?(dev-r|dev\\.r)\\.?(\\d+)$'	1263,1290,1469,1580,1594
'(^|(?<=\\s))@(?P<name>[a-zA-Z]+)'	322,467,505,534,1466
"(?:[-a-zA-Z0-9!$&'\\(\\)\\*+,;=._~]|%[a-zA-Z0-9]{2})+$"	278,296,432,819,1366
'(\\+|-|\\*|/|//|\\*\\*|and|or|xor|=\\?|=|==|<>|<|>|<=|>=)$'	251,498,1087,1267,1555
'(?P<tzd>[-+](?P<tzdhours>\\d\\d)(?::?(?P<tzdminutes>\\d\\d))|Z)'	211,220,1003,1076,1247
u'^\\s*blocktrans(\\s+.*context\\s+((?:"[^"]*?")|(?:\'[^\']*?\')))?(?:\\s+|$)'	1012,1086,1158,1495,1580
'(halt|quit|do|load|q|recycle|call|run|ask|parse|view|unview|return|exit|break)$'	251,498,1087,1267,1555
'.. auto(function|method|attribute|class|exception|module)::\\s*([A-Za-z0-9_.]+)\\s*$'	356,436,538,1247,1288
'\\s*((?<=[\\\'"\\s])[^\\s/>][^\\s/=>]*)(\\s*=+\\s*(\\\'[^\\\']*\\\'|"[^"]*"|(?![\\\'"])[^>\\s]*))?'	873,927,1469,1580,1592
u'^\\s*trans\\s+((?:"[^"]*?")|(?:\'[^\']*?\'))(\\s+.*context\\s+((?:"[^"]*?")|(?:\'[^\']*?\')))?\\s*'	1012,1086,1158,1495,1580
'^<([\\w\\:\\-]+)((?:\\s+[\\w\\-:]+(?:\\s*=\\s*(?:(?:"[^"]*")|(?:\'[^\']*\')|[^>\\s]+))?)*)\\s*(\\/?)>'	305,1025,1322,1326,1505
'^(?P<version>(?P<major>\\d+)\\.(?P<minor>\\d+)\\.(?P<subminor>\\d+))((rc(?P<release_candidate>\\d+))|dev)?-CAPI-(?P<capi_version>\\d+\\.\\d+\\.\\d+)$'	849,878,1086,1495,1634
'& (?:\n                                          \\#(\\d+)\n                                          | \\#x([\\da-f]+)\n                                          | ( (?!\\d) [:\\w] [-.:\\w]+ )\n                                          ) ;'	433,927,1003,1202,1350
'(add|subtract|multiply|divide|remainder|power|and~|or~|xor~|minimum|maximum|negate|complement|absolute|random|head|tail|next|back|skip|at|pick|first|second|third|fourth|fifth|sixth|seventh|eighth|ninth|tenth|last|path|find|select|make|to|copy\\*|insert|remove|change|poke|clear|trim|sort|min|max|abs|cp|copy)$'	251,498,1087,1267,1555
