'[$][{]\\d+:([^}]+)[}]'	1025,1322
'/[*]\\s*f2py\\s.*[*]/'	356
'\\[\\[([^][|:]*)\\]\\]'	1454
'zc.buildout-\\S+[.]egg'	313
'^[ ]{0,3}[*+-][ ]+(.*)'	236
'[(]([^)]*)[)]\\*(\\d+)'	356
'^([^=]+)[ ]*=[ ]*(.+)$'	502
'zc.buildout[.]egg-link'	313
'(.*)-[0-9_]+(.*[.]lib)'	1249
'unicode\\s*[(][^)]*[)]'	356
'complex\\s*[(][^)]*[)]'	356
'\\(\\s*([*]|[:])\\s*\\)'	356
'(\\d[.]\\d)([.].*\\d)?$'	313
'(\\w+)[ ]+- ([\\w /,]+)'	506
'^[ ]{0,3}:[ ]{1,3}(.*)$'	1395
'(.+):([0-9]+)[:]{0,1}.*'	498
'-py\\d[.]\\d(-\\S+)?.egg'	313
'^(?:\\[([^]]+)\\])?(.*)$'	819
'^Version:[ ]*([0-9\\.]*)'	122
'^[ ]{0,3}\\d+\\.[ ]+(.*)'	236
'&#[x]*(?P<name>[0-9]+);*'	1431
'(.*)-[0-9_]+(.*[.]dylib)'	1249
'http[s]*:.*flickr.com/.*'	1285
'^[$]?([A-Z]+)[$]?(\\d+)$'	729
'.*[<]KILLLINE[>].*(\\n|$)'	356
'(\\S+[.]savespace[(].*[)])'	356
'(.*)-[0-9_]+(.*[.]dll[.]a)'	1249
'-?[0-9]+([ ]+-?[0-9]+){3}$'	729
'.*\\([+]{0,1}\\d{3,15}\\)$'	1607
'[A-Za-z0-9_.-]*[.][r][p][m]'	560
'[-d]  setuptools-\\S+[.]egg'	313
'[A-Za-z0-9_.-]*[.][d][e][b]'	560
'(.*)-[0-9_]+(.*[.]so)[.0-9]*'	1249
'^\\s*\\[Branch\\s+([^]]+)\\]'	122
'%([A-Z]), +[$](0|[1-9][0-9]*)'	1260
'^([^ ]+)[ ]+([^ ]+)[ ]+([^ ]+)'	1491
'rootpw[ ]+--iscrypted[ ]+.*\\n'	1051
'([:][ ]*)([/])(.*)([/][ismx]*)'	1354
'AC_INIT[(][^,]*,\\s+([^)]*)[)]'	1520
'([^,(\\s]+[.]spacesaver[(][)])'	356
'/[*]+(?:[^*]+|[*]+[^/*])*[*]+/'	1023
'http[s]*:.*youtube.com/watch.*'	1285
'\\s*?- Method:\\s*(\\S*)[(].*$'	1007
'.*(\\.ipy|\\.ipynb|\\.py[w]?)$'	1580
'r\\d+\\s[|]\\s(.*)\\s[|]\\s200'	356
'^[ ]{4,7}((\\d+\\.)|[*+-])[ ]+.*'	236
'^([0-9a-f]{2}[:]){5}[0-9a-f]{2}$'	1353
'^\\s*?([*]|/\\*\\*)(?P<line>.*?)'	706
'\\[\\[([^]|[:]*)\\|([^][]*)\\]\\]'	1454
'zc.buildout(-\\S+)?[.]egg(-link)?'	313
'(\\d{1,2}) (\\d{1,2})[ ]?(\\d{4})'	1113
'(.+)[.](proto|impl|init|cleanup)$'	1621
'^[@]?[a-zA-Z0-9][a-zA-Z0-9_\\.]*$'	1118
u'Name(?:\\[([^]]+)\\])?\\s*=(.*)$'	782
'^http://gatherer[.]wizards[.]com/'	771
'/_ah/img/([-\\w]+)([=]*)([-\\w]+)?'	1004
'(\\S*)[-](\\d+\\.\\d+\\.*\\d*)\\S*'	975
'xlfcmp:(?P<version>\\d+([.]\\d+)+)'	356
'^[ ]{0,3}((\\d+\\.)|[*+-])[ ]+(.*)'	236
'[ ]{0,3}\\[\\^([^\\]]*)\\]:\\s*(.*)'	1395
'(\\S+\\s*)[.]shape\\s*=[^=]\\s*(.+)'	356
'(\\S+)\\s*[.]\\s*type\\s*[(]\\s*[)]'	356
'\\A\\s*----+[ ]*\n(.*)\n----+[ ]*\n'	1470
'/_ah/img/([-\\w:]+)([=]*)([-\\w]+)?'	1495
'(\\S+)\\s*[.]\\s*info\\s*[(]\\s*[)]'	356
'(?P<text>(\\w|[-])*[*?](\\w|[-*?])*)'	951
'(.*[.]so[.0-9]+)(.*[.]dylib)(.*[.]a)'	1249
'\\s*crt\\s*[=]\\s*(?P<path>.*)/crt1.o'	356
'distribute( version)? \\d+[.]\\d+\\S*'	313
'^\\\\[a-zA-Z]+[ ]?|^\\\\[^a-zA-Z][ ]?'	899
'ATLAS_(?P<version>\\d+[.]\\d+[.]\\d+)_'	356
"\\s*SELECT\\s+.+?\\s+FROM\\s+[']?(\\w+)"	284
'[-d]  (setuptools|distribute)-\\S+[.]egg'	313
'\\*(fore|back)ground:[ ]*(#[A-Za-z0-9]*)'	1365
'distribute-\\d+[.]\\d+\\S*-py\\d.\\d.egg'	313
'([0-9]+)[ \t]*([<>][=]?|=)[ \t]*([0-9]+)'	557
'^([0-1][0-9]|[2][0-3]|[0-9]):[0-5][0-9]$'	826
'[ ]*\\*color([0-9]*):[ ]*(#[A-Za-z0-9]*)'	1365
'(\\S+)\\s*[.]\\s*is_f_array\\s*[(]\\s*[)]'	356
'-?[0-9]+,-?[0-9]+([ ]+-?[0-9]+,-?[0-9]+)*'	729
'^#\\s*cython\\s*:\\s*((\\w|[.])+\\s*=.*)$'	1621
'(\\S+)\\s*[.]\\s*is_c_array\\s*[(]\\s*[)]'	356
'(\\S+\\s*[(].+),\\s*savespace\\s*=.+\\s*[)]'	356
'(\\S+)\\s*[.]\\s*isbyteswapped\\s*[(]\\s*[)]'	356
'(\\S+)\\s*[.]\\s*new\\s*[(]\\s*(\\S+)\\s*[)]'	356
'^([a-zA-Z0-9-]-)*force-([a-zA-Z0-9])+[.]cmd$'	119
'ATLAS version (?P<version>\\d+[.]\\d+[.]\\d+)'	356
'(\\S+)\\s*[.]\\s*togglebyteorder\\s*[(]\\s*[)]'	356
'([^=]+)=(\\w+(?:[.]\\w+)*):(\\w+(?:[.]\\w+)*)$'	313
'(\\S+)\\s*[.]\\s*repeat\\s*[(]\\s*(\\S+)\\s*[)]'	356
'ESXi (\\d)+\\.(\\d)+\\.(\\d)+[ ]+build-([\\d]+)'	1381
'(\\S+)\\s*[.]\\s*setimag\\s*[(]\\s*(\\S+)\\s*[)]'	356
'(\\S+)\\s*[.]\\s*setreal\\s*[(]\\s*(\\S+)\\s*[)]'	356
'(^(\x00|\n|\r| |:|<)|[\x00\n\r\x80-\xff]+|[ ]+$)'	585
'type\\s*[(]([^)]*)[)]\\s+(?:is|==)\\s+(.*?float)'	356
'[ ]*(/\\*\\*\\s|\\*/|\\B\\*\\s|//!)(?P<line>.*?)'	706
'(?P<group>[^,]+?)[.](?P<name>.+?):(?P<value>\\d+)'	440
'(\\S+)\\s*[.]\\s*setshape\\s*[(]\\s*(\\S+)\\s*[)]'	356
"<[fF][oO][nN][tT][ ]*[sS][iI][zZ][eE][ ]*='2'[ ]*>"	110
'^[$]?([A-Z]+)[$]?(\\d+)(:[$]?([A-Z]+)[$]?(\\d+))?$'	729
'(zc.buildout|setuptools)( version)? \\d+[.]\\d+\\S*'	313
'(?s)(?<=\\n)([|][|].*?[|][|])(?=\\n[^|]|\\n[|][^|])'	138
u'^[ ]{0,3}(?P<key>[A-Za-z0-9._-]+):\\s*(?P<value>.*)'	1340
'([0-9a-zA-Z_.]+)-([0-9a-zA-Z_.]+)-py(\\d[.]\\d).egg$'	313
'http[s]?://[www\\.]?twitter\\.com/.+/status/([0-9]+)'	340
'(\\S+)\\s*[.]\\s*setimaginary\\s*[(]\\s*(\\S+)\\s*[)]'	356
'[r][g][b][(]\\d{1,3}[,][ ]*\\d{1,3}[,][ ]*\\d{1,3}[)]'	1025
'(zc.buildout|setuptools)-\\d+[.]\\d+\\S*-py\\d.\\d.egg'	313
'\\A\\s*(?:\\.\\..*\n)*\\s*----+[ ]*\n(.*)\n----+[ ]*\n'	1470
'[a-fA-F0-9]{8}[-]([a-fA-F0-9]{4}[-]){3}[a-fA-F0-9]{12}$'	562
'^(\\s+arrayObject\\w*\\s*=\\s*[(])[(]PyObject\\s*[*][)]'	356
'(?P<repeat> *[(]?[ ,0-9]*[)]? *)(?P<dtype>[A-Za-z0-9.]*)'	356
'(--(?P<key>\\S*)[=](?P<value>\\S*))|(--(?P<option>\\S*))'	1459
'^\\s+Table\\s+C.[0-9A-Za-z-]+\\s*[-]*\\s*([A-Z/\\s-]+)\\s*$'	1432
'[-][-]((f(90)?compiler([-]exec|)|compiler)=|help[-]compiler)'	356
'^\\[{2}(?P<uri>[^][]*)(\\]\\[(?P<description>[^][]*))?\\]{2}'	624
'(?P<wikilink>(^|(?<=[^A-Za-z]))[!]?[A-Z][a-z/]+(?:[A-Z][a-z/]+)+)'	1258
'^(\\s*)#\\s*begin\\s+wxGlade:\\s*([A-Za-z_]+\\w*)??[.]?(\\w+)\\s*$'	602
'(d  ((ext)?demo(needed)?|other)-\\d[.]\\d-py)\\d[.]\\d(-\\S+)?[.]egg'	313
' ( " ( "" | [^"]+ )* " ) | ( [a-z_][a-z0-9_]* ) | [.] | (?P<err> .)  '	1520
'[-][-]((no[-]|)(wrap[-]functions|lower)|debug[-]capi|quiet)|[-]include'	356
'{{[ ]?placeholder[ ]?\\([ ]?"(?P<placeholder>[a-zA-Z0-9]+)"[ ]?\\)[ ]?}}'	1187
'^((cdef +(extern|class))|cimport|(from .+ cimport)|(from .+ import +[*]))'	1621
'\\+?"[^"\\\\]*(?:\\\\.[^"\\\\]*)*"|\\[[^]\\\\]*(?:\\\\.[^]\\\\]*)*\\]|\\S+'	539
'[-][-]((f(77|90)(flags|exec)|opt|arch)=|(debug|noopt|noarch|help[-]fcompiler))'	356
"^[A-Za-z0-9\xc2\xb5 /()'>-]+\\s+\\([0-9A-Fx]+,[0-9A-F]+\\)\\s+[1-3][C]*\\s+(.*)$"	1432
u'[ ]{1}([01]{1}[0-9]{1}|[2]{1}[0-3]{1}|[0-9]{1})[-:.]([03]{1}[05]{1})[.,: ]{0,1}'	1113
'http[s]?://(?:[a-zA-Z]|[0-9]|[$-_@.&+]|[!*\\(\\),]|(?:%[0-9a-fA-F][0-9a-fA-F]))+'	746
'(?:(?P<proto>[a-zA-i0-9]+)://)?(?P<host>[a-zA-Z0-9.-]+)(?:[:](?P<port>[0-9]+))?/?'	863
'http[s]?://(?:[a-zA-Z]|[0-9]|[$-_@.&+#]|[!*\\(\\),]|(?:%[0-9a-fA-F][0-9a-fA-F]))+'	340
'[r][g][b][a][(]\\d{1,3}[,][ ]*\\d{1,3}[,][ ]*\\d{1,3}[,][ ]*(\\d+|\\d*\\.\\d+)[)]'	1025
'^([a-zA-Z0-9_\\-]+)([\\.][a-zA-Z0-9_\\-]+)+([:][0-9\\~\\(\\)_\\-]*)+([\\.][0-9]+)*$'	548
'^http[s]?://(?:[a-zA-Z]|[0-9]|[$-_@.&+#]|[!*\\(\\),]|(?:%[0-9a-fA-F][0-9a-fA-F]))+$'	340
'\n^\ncreate \\s+ (?: or \\s+ replace \\s+ )?\nfunction ( [^(]+ )\n[(] ( [^)]* ) [)]\n'	1520
'\\([ ]*-?([0-9]+(\\.[0-9]*)?|\\.[0-9]+)([ ]+-?([0-9]+(\\.[0-9]*)?|\\.[0-9]+)){2}[ ]*\\)'	729
'(?P<line>([^"]*["][^"]*["][^"!]*|[^\\\']*\\\'[^\\\']*\\\'[^\\\'!]*|[^!\\\'"]*))!{1}(?P<rest>.*)'	356
'^([a-zA-Z0-9_\\-]+)([\\.][a-zA-Z0-9_\\-]+)+([:][/][a-zA-Z0-9\\~\\(\\)_\\-]*)+([\\.][a-zA-Z0-9\\(\\)_\\-]+)*'	548
'\n    ^(?P<ending>\\w+)\n    (?P<intact>[*]?)\n    (?P<num>\\d+)\n    (?P<append>\\w*)\n    (?P<cont>[.>])\n    '	1184
u'[ ]{1}([01]{1}[0-9]{1}|[2]{1}[0-4]{1}|[0-9]{1})[-:.]([0-6]{1}[05]{1}|\u0447\u0430\u0441\u043e\u0432)[.,: ]{0,1}'	1113
'(?P<fence>^(?:~{3,}|`{3,}))[ ]*(\\{?\\.?(?P<lang>[a-zA-Z0-9_+-]*)\\}?)?[ ]*\\n(?P<code>.*?)(?<=\\n)(?P=fence)[ ]*$'	1395
'\\s*({|}|\\[|]|//|/|\\.|\\\\\\\\|\\\\|<==|==>|<=|=>|<--|-->|<-|->|@|or|and|not|\\(|\\)|>=|=|<>|like|_|\\*|\\+|\\?)\\s*'	1488
'\n        ^[ ]*:\\w+:.*\\n                     # :option:\n        (.*\\S.*)*                          # non-blank lines\n        '	1248
'\n        ^[ ]*:\\w+:.*\\n                     # :option:\n        (.*\\S.*\\n)*                          # non-blank lines\n        '	1248
'([a-zA-Z]+[.]? \\d+\\, \\d\\d\\d\\d at \\d+(\\:\\d+)? [ap]\\.m\\. [A-Z]{1,5})|( \\((\\d+ hour(s)?(, )?)?(\\d+ minute(s)?(, )?)?(\\d+ second(s)?(, )?)?\\))'	1529
u'\\b((?:([\\w-]+):(/{1,3})|www[.])(?:(?:(?:[^\\s&()]|&amp;|&quo\nt;)*(?:[^!"#$%&\'()*+,.:;<=>?@\\[\\]^`{|}~\\s]))|(?:\\((?:[^\\s&()]|&amp;|&quot;)*\\)))+)'	1055
'^(optimized.)?group(?P<year>[0-9]{2}).(?P<group>[^.]+).mc(?P<prodyear>[0-9]{2})[_]?(?P<energy>[0-9]{1,2})(TeV)?.(?P<run>[0-9]+).(?P<name>).(?P<tag>[^.]+).(?P<suffix>.+)$'	270
'\n       (^\\.\\.[ ]*pylisting::.*\\n         # directive\n            (?:[ ]*\\n|                   # blank line or\n               [ ]+.*\\n)*)               #   indented line\n        '	1248
'\n       (^\\.\\.[ ]*pylisting::[ ]?\\S*\\n    # directive\n            (?:[ ]*\\n|                   # blank line or\n               [ ]+.*\\n)*)               #   indented line\n        '	1248
'\n        (?:^[^ ].*\\n                       # non-blank line\n            (?:[ ]*\\n |                    # blank line or\n               [ ]+.*\\n)*)                 #   indented line\n        '	1248
'\n        \\s*\n        (?P<rows>\\d+)\n        [ ]\n        (?P<cols>\\d+)\n        (?P<grid>.*?)\n        (?P<wrap>WRAP|NO_WRAP)\n        \\s+\n        (?P<num_words>\\d+)\n        \\s\n        (?P<words>.*)\n    '	1222
'\n            (?:^[ \\t]+)?               # eat spaces, tabs (opt.)\n            (<\n             (?:!--[ ])?               # comment start + space (opt.)\n             /?TMPL_[A-Z]+             # closing slash / (opt.) + statement\n             [ a-zA-Z0-9""/.=:_\\\\-]*   # this spans also comments ending (--)\n             >)\n            [\n]?                      # eat trailing newline (opt.)\n        '	220
'\n        # Source consists of a PS1 line followed by zero or more PS2 lines.\n        (?P<source>\n            (?:^(?P<indent> [ ]*) >>>    .*)    # PS1 line\n            (?:\\n           [ ]*  \\.\\.\\. .*)*)  # PS2 lines\n        \\n?\n        # Want consists of any non-blank lines that do not start with PS1.\n        (?P<want> (?:(?![ ]*$)    # Not a blank line\n                     (?![ ]*>>>)  # Not a line starting with PS1\n                     .+$\\n?       # But any other line\n                  )*)\n        '	1580
'\n\t\t\t\t\t\t\t\t#^diff[ ]--git\n\t\t\t\t\t\t\t\t\t[ ]a/(?P<a_path>.+?)[ ]b/(?P<b_path>.+?)\\n\n\t\t\t\t\t\t\t\t(?:^similarity[ ]index[ ](?P<similarity_index>\\d+)%\\n\n\t\t\t\t\t\t\t\t   ^rename[ ]from[ ](?P<rename_from>\\S+)\\n\n\t\t\t\t\t\t\t\t   ^rename[ ]to[ ](?P<rename_to>\\S+)(?:\\n|$))?\n\t\t\t\t\t\t\t\t(?:^old[ ]mode[ ](?P<old_mode>\\d+)\\n\n\t\t\t\t\t\t\t\t   ^new[ ]mode[ ](?P<new_mode>\\d+)(?:\\n|$))?\n\t\t\t\t\t\t\t\t(?:^new[ ]file[ ]mode[ ](?P<new_file_mode>.+)(?:\\n|$))?\n\t\t\t\t\t\t\t\t(?:^deleted[ ]file[ ]mode[ ](?P<deleted_file_mode>.+)(?:\\n|$))?\n\t\t\t\t\t\t\t\t(?:^index[ ](?P<a_blob_id>[0-9A-Fa-f]+)\n\t\t\t\t\t\t\t\t\t\\.\\.(?P<b_blob_id>[0-9A-Fa-f]+)[ ]?(?P<b_mode>.+)?(?:\\n|$))?\n\t\t\t\t\t\t\t'	599
