'[aeiouy]'	866,1184
'\n        \\$(?:\n          (?P<escaped>\\$)              |   # Two $ signs\n          (?P<named>[_a-z][_a-z0-9]*)  |   # $name format\n          {(?P<braced>[^}]*)}              # ${name} format\n        )\n        '	119,332,436,602,642,689,730,747,927,971,1003,1007,1015,1032,1203,1256,1269,1498
'((^|[^%])(%%)*%[sy])'	302,323,355,422,425,849,866,878,1004,1012,1086,1158,1184,1495,1517,1580,1634
u'^\\s*[#*=]{4,}\\n[a-z0-9 -]+\\n[#*=]{4,}\\s*'	283,332,339,356,436,518,538,670,689,747,787,832,975,1000,1247,1288,1495
'[-]'	302,323,355,422,560,849,866,878,1004,1012,1086,1158,1184,1495,1517,1634
'[_-]'	82,89,992,1004,1074,1075,1104,1257,1317,1386,1415,1469,1495,1501,1536,1580
'^[012TF\\*]{9}$'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1580,1634
'\\?|[-+]?[.\\w]+$'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1580,1634
'\\s*((\\w|[-.])+)'	287,487,498,602,662,1033,1087,1257,1263,1415,1469,1509,1536,1580,1594,1634
'[ \\t\\n][ \\t\\n]+'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1580,1634
'&([a-zA-Z][a-zA-Z0-9]*|#[0-9]*)?|<([a-zA-Z][^<>]*|/([a-zA-Z][^<>]*)?|![^<>]*)?'	12,287,412,413,510,602,759,774,852,961,1054,1076,1087,1221,1509,1511
'[-\\.]'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1634
'[-/\\.]'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1634
'^([-+])?(\\d\\d?):?(\\d\\d)?$'	12,225,287,412,510,602,759,774,852,961,1054,1087,1221,1509,1511
'\\s*(<=?|>=?|==|!=)\\s*((\\w|[-.])+)'	287,487,498,602,662,1033,1087,1257,1415,1469,1509,1536,1580,1594,1634
'^(\\d{2})[-\\.]?(\\d{4})[-\\.]?(\\d{4})$'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1634
'&#(?:[0-9]+|[xX][0-9a-fA-F]+)[^0-9a-fA-F]'	12,43,287,381,412,602,759,852,961,1054,1087,1221,1509,1511,1580
'^(\\d{4})[ -]?(\\d{4})[ -]?(\\d{2})[ -]?(\\d{10})$'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1634
'^(?P<area>\\d{3})[-\\ ]?(?P<group>\\d{2})[-\\ ]?(?P<serial>\\d{4})$'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1634
'^[SMTWF][a-z][a-z], (\\d\\d) ([JFMASOND][a-z][a-z]) (\\d\\d\\d\\d) (\\d\\d):(\\d\\d):(\\d\\d) GMT$'	12,225,287,412,510,602,759,774,852,961,1054,1087,1221,1509,1511
'^(?P<residence>\\d{10})(?P<origin>\\w{1,3})[-\\ ]?(?P<birthday>\\d{7})[-\\ ]?(?P<validity>\\d{7})[-\\ ]?(?P<checksum>\\d{1})$'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1634
'[/\\\\]'	294,322,467,503,505,534,656,712,906,1004,1216,1262,1404,1466
'^[ \\t]*'	12,31,52,188,412,597,759,852,961,1050,1054,1087,1221,1511
'^[ \t]*$'	12,54,111,132,412,759,852,961,1030,1054,1087,1089,1221,1511
'[\\r\\n]+'	43,109,182,503,656,826,906,1007,1015,1032,1258,1302,1404,1561
'([ \\t]*)'	150,304,640,662,842,851,945,1025,1054,1147,1199,1322,1505,1561
'[ \t\\)].*$'	533,587,618,793,818,1007,1015,1032,1080,1172,1266,1296,1428,1493
'(?P<pad>[=]*)$'	12,287,381,412,602,759,852,961,1054,1087,1221,1509,1511,1580
'^.*FT_TRACE_DEF[ \t]*\\([ \t]*'	533,587,618,793,818,1007,1015,1032,1080,1172,1266,1296,1428,1493
'<([a-zA-Z][-.a-zA-Z0-9]*)/([^/]*)/'	12,287,412,510,602,759,774,852,961,1054,1087,1221,1509,1511
'^[ \t]*#define[ \t]+FT_COMPONENT[ \t]+trace_'	533,587,618,793,818,1007,1015,1032,1080,1172,1266,1296,1428,1493
'(.*/|)([^/]+\\.[a-z]+:\\d+):(\\d+:)? warning:'	1040,1103,1105,1106,1131,1237,1306,1356,1400,1556,1610,1622,1624,1627
'%(?:\\((?P<key>.*?)\\))?(?P<modifiers>[-#0-9 +*.hlL]*?)[eEfFgGdiouxXcrs%]'	12,251,287,381,422,602,662,800,1033,1054,1087,1509,1517,1580
'\\s*([a-zA-Z_][-:.a-zA-Z_0-9]*)(\\s*=\\s*(\\\'[^\\\']*\\\'|"[^"]*"|[][\\-a-zA-Z0-9./,:;+*%?!&$\\(\\)_#=~\\\'"@]*))?'	12,287,412,510,602,759,774,852,961,1054,1087,1221,1509,1511
'^(?P<century>\\d{2})?(?P<year>\\d{2})(?P<month>\\d{2})(?P<day>\\d{2})(?P<sign>[\\-+])?(?P<serial>\\d{3})(?P<checksum>\\d)$'	302,323,355,422,849,866,878,1004,1012,1086,1158,1495,1517,1634
'[]&<]'	12,287,381,412,602,759,852,961,1054,1087,1221,1509,1511
'^([ \\t]*)'	12,55,200,287,433,602,927,1003,1054,1087,1202,1509,1580
'[\\?|><:/*]"'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511,1580
'[\\?|><:/*"+,;=\\[\\]]'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511,1580
'coding[:=]\\s*([-\\w_.]+)'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511,1580
'([-\\w]+)\\s*:\\s*([^:;]*)'	220,454,666,707,927,1003,1122,1247,1263,1290,1469,1580,1594
'^#!.*python[0-9.]*([ \t].*)?$'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511,1580
'[ \t]*([^ \t]+)[ \t]+realm="([^"]*)"'	12,287,412,602,759,852,961,1054,1087,1221,1495,1509,1511
'^([-+]?)0*(\\d*)((?:\\.\\d*)?)(([eE][-+]?\\d+)?)$'	12,287,381,412,602,759,852,961,1054,1087,1221,1509,1511
'((\\\\[\\\\abfnrtv\\\'"]|\\\\[0-9]..|\\\\x..|\\\\u....)+)'	12,287,412,531,602,759,852,961,1054,1087,1221,1509,1511
'(?P<option>[^:=\\s][^:=]*)\\s*(?P<vi>[:=])\\s*(?P<value>.*)$'	12,287,381,412,602,759,852,961,1054,1087,1221,1509,1511
'(?P<delim>[^\\w\n"\'])(?P<space> ?)(?P<quote>["\']).*?(?P=quote)(?P=delim)'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511,1580
'\\b((http|ftp)://\\S+[\\w/]|RFC[- ]?(\\d+)|PEP[- ]?(\\d+)|(self\\.)?(\\w+))'	12,287,412,531,602,759,852,961,1054,1087,1221,1509,1511
'\\b((http|ftp)://\\S+[\\w/]|RFC[- ]?(\\d+)|PEP[- ]?(\\d+)|(self\\.)?((?:\\w|\\.)+))\\b'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511,1580
'\\s*([a-zA-Z_][-.:a-zA-Z_0-9]*)(\\s*=\\s*(\\\'[^\\\']*\\\'|"[^"]*"|[-a-zA-Z0-9./,:;+*%?!&$\\(\\)_#=~@]*))?'	12,287,381,412,602,759,852,961,1054,1087,1221,1509,1511
'[\\x00\\x01\\x02\\x03\\x04\\x05\\x06\\x07\\x08\\x0b\\x0c\\x0e\\x0f\\x10\\x11\\x12\\x13\\x14\\x15\\x16\\x17\\x18\\x19\\x1a\\x1b\\x1c\\x1d\\x1e\\x1f]'	12,31,287,412,602,759,852,961,1054,1087,1221,1509,1511
'.*INTERNALDATE "(?P<day>[ 0123][0-9])-(?P<mon>[A-Z][a-z][a-z])-(?P<year>[0-9][0-9][0-9][0-9]) (?P<hour>[0-9][0-9]):(?P<min>[0-9][0-9]):(?P<sec>[0-9][0-9]) (?P<zonen>[-+])(?P<zoneh>[0-9][0-9])(?P<zonem>[0-9][0-9])"'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511,1580
'[][\\\\()"]'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511
'[][\\\\()<>@,:;".]'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511
'^([^ \t]+)[ \t]+(.*)$'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511
'(\\w+)[-_](release|version)'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511
'^(?P<group>[^ \t]+)[ \t]+(.*)$'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511
'\\[(?P<type>[A-Z-]+)( (?P<data>[^\\]]*))?\\]'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511
'^(From |[\\041-\\071\\073-\\176]{1,}:|[\\t ])'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511
'(::|\\.\\.|\\(\\)|[/.*:\\[\\]\\(\\)@=])|((?:\\{[^}]+\\})?[^/:\\[\\]\\(\\)@=\\s]+)|\\s+'	12,147,245,287,305,602,1248,1317,1501,1505,1509,1638
'\n  =\\?                   # literal =?\n  (?P<charset>[^?]*?)   # non-greedy up to the next ? is the charset\n  \\?                    # literal ?\n  (?P<encoding>[qb])    # either a "q" or a "b", case insensitive\n  \\?                    # literal ?\n  (?P<atom>.*?)         # non-greedy up to the next ?= is the atom\n  \\?=                   # literal ?=\n  '	12,287,412,602,759,852,961,1054,1087,1221,1509,1511
'([\\\\"/]|[^\\ -~])'	41,82,89,101,200,560,1004,1074,1075,1300,1495
'^.*[/\\\\](.*:)\\d+\\n'	416,592,852,896,994,1007,1301,1403,1511,1560,1598
'encoding\\s*=\\s*[\'"]([^"\']+)["\']'	12,73,287,412,602,759,852,961,1221,1509,1511
'<meta.*?charset=["\\\']*(.+?)["\\\'>]'	619,869,927,1263,1292,1399,1439,1469,1535,1580,1594
'.*[/\\\\](.+)(\\:\\d+|\\(\\d+\\))\\: '	416,592,852,896,994,1007,1301,1403,1511,1560,1598
'^const\\s+([a-zA-Z0-9_]+)\\s*=\\s*([^;]*);$'	306,322,464,467,505,534,883,1007,1300,1404,1466
'^(?P<proto>inet):(?P<host>[^:]+)(:(?P<port>[0-9]+))?$'	100,190,200,619,658,950,1247,1399,1403,1485,1570
'^macro\\s+([a-zA-Z0-9_]+)\\s*\\(([^)]*)\\)\\s*=\\s*([^;]*);$'	306,322,464,467,505,534,883,1007,1300,1404,1466
'^python\\s+macro\\s+([a-zA-Z0-9_]+)\\s*\\(([^)]*)\\)\\s*=\\s*([^;]*);$'	306,322,464,467,505,534,883,1007,1300,1404,1466
'[.-]'	12,412,560,759,852,961,1087,1221,1511,1580
'[\\n\\r]'	305,445,1025,1225,1322,1326,1505,1630,1632,1639
'-py([123]\\.?[0-9]?)$'	1104,1257,1263,1290,1386,1415,1536,1580,1594,1634
'/[*] #undef ([A-Z][A-Za-z0-9_]+) [*]/\n'	12,287,602,1054,1087,1263,1290,1509,1580,1594
'^[\t ]*#[\t ]*include[\t ]+<([a-zA-Z0-9_/\\.]+)'	12,412,759,852,961,1054,1087,1221,1511,1580
'^[\t ]*#[\t ]*define[\t ]+([a-zA-Z0-9_]+)[\t ]+'	12,412,759,852,961,1054,1087,1221,1511,1580
'^[ \t]*(def|class)[ \t]+([a-zA-Z0-9_]+)[ \t]*[:\\(]'	12,412,759,852,961,1054,1087,1221,1511,1580
'^[ \\t]*(def|class)[ \\t]+([a-zA-Z_][a-zA-Z0-9_]*)[ \\t]*[:\\(]'	12,412,759,852,961,1054,1087,1221,1511,1580
'^[\t ]*#[\t ]*define[\t ]+([a-zA-Z0-9_]+)\\(([_a-zA-Z][_a-zA-Z0-9]*)\\)[\t ]+'	12,412,759,852,961,1054,1087,1221,1511,1580
'[@{} ]'	12,412,759,852,961,1054,1087,1221,1511
'["\'/]'	306,322,464,467,505,534,1007,1404,1466
'[ \\t]+'	55,261,305,908,1505,1630,1632,1638,1639
'\\$[()]'	308,322,389,467,505,534,743,1216,1466
'[\n@{}&<>]'	12,412,759,852,961,1054,1087,1221,1511
'[Hh][123456]'	236,247,552,606,919,1007,1223,1395,1420
'\\$<\\d+>[/*]?'	76,737,757,1087,1205,1243,1244,1246,1540
'\\\\line([iv]+){'	12,412,759,852,961,1054,1087,1221,1511
'[\\t ]+(?![^{]*})'	308,322,389,467,505,534,743,1216,1466
'-py([123]\\.[0-9])$'	251,422,662,800,1033,1188,1263,1290,1517
'^@([a-z]+)([ \t]|$)'	12,412,759,852,961,1054,1087,1221,1511
'^([a-zA-Z0-9_]+)[ \t]*=(.*)'	12,412,759,852,961,1087,1221,1511,1580
'\\\\end{(?:long)?table([iv]+)}'	12,412,759,852,961,1054,1087,1221,1511
'\\\\begin{(?:long)?table([iv]+)}'	12,412,759,852,961,1054,1087,1221,1511
'\\\\(begin|end){([_a-zA-Z]+)}|([()\\[\\]])'	12,412,759,852,961,1054,1087,1221,1511
'^\\s*#\\s*include\\s*([<"])([^>"]*)[>"].*$'	322,416,467,505,534,1199,1300,1404,1466
'\\\\([abfnrtv?"\\\\\\\']|\\d+|x[0-9a-fA-F]+)'	322,416,467,505,534,1199,1300,1404,1466
'^\\* ([^:]*):(:|[ \t]*([^\t,\n.]+)([^ \t\n]*))[ \t\n]*'	12,412,759,852,961,1054,1087,1221,1511
'<a href="([^"#]+)">([^<]+)</a>\n\\s+\\(<a (?:title="MD5 hash"\n\\s+)href="[^?]+\\?:action=show_md5&amp;digest=([0-9a-f]{32})">md5</a>\\)'	662,1033,1087,1257,1415,1536,1580,1594,1634
'[ ,]+'	200,552,606,819,1223,1247,1420,1469
'[ \\t]*'	55,412,759,852,908,961,1221,1511
'([b:]+)'	12,412,759,852,961,1087,1221,1511
'[/\\\\ ]'	113,147,181,251,498,1087,1267,1555
'[EW]\\d{3}'	304,640,662,842,945,1199,1322,1505
'(["\\\\`])'	306,322,467,505,534,896,1007,1466
'u?r?["\\\']'	304,640,662,842,945,1025,1322,1505
'([\\13\\14])'	12,412,759,852,961,1087,1221,1511
'py:(.*?)=["\']'	113,147,181,251,498,1087,1267,1555
'(\\\\*)([,;]+)'	306,322,467,505,534,896,1007,1466
'[\\\\"]|[^ -~]'	306,322,467,505,534,896,1007,1466
'(a(?=\\s[abc]))'	12,412,759,852,961,1087,1221,1511
'(a(?!\\s[abc]))'	12,412,759,852,961,1087,1221,1511
'[[({] | []}),;:]'	304,640,662,842,945,1025,1322,1505
'(a(?=\\s[abc]*))'	12,412,759,852,961,1087,1221,1511
'[\n\r\t\x0b\x0c]'	46,147,162,181,251,619,1087,1267
'(>[ \\t]*)(.*\\n)'	113,147,181,251,498,1087,1267,1555
'^(.*)=([-+]?[0-9]+)'	12,412,759,852,961,1087,1221,1511
'(^|\\n)[ ]{0,3}>[ ]?(.*)'	236,247,552,606,919,1007,1223,1420
'(Okay|[EW]\\d{3}):\\s(.*)'	304,640,662,842,945,1199,1322,1505
'^([a-zA-F0-9_-]*)[\\.]?.*$'	306,322,464,467,505,534,1300,1466
"[\t\n #$%&'()*;<=>?[{|}~]|^$"	306,322,467,505,534,896,1007,1466
'^([^.]*)\\.([^:]*):[\\t ]+(.*)'	12,412,759,852,961,1087,1221,1511
'^\\s*([-\\w]+\\s*:[^:;]*(;\\s*|$))*$'	220,927,1122,1263,1290,1469,1580,1594
'([Ww]/)?(?:"(.*?)"|(.*?))(?:\\s*,\\s*|$)'	992,1104,1257,1386,1415,1469,1536,1580
'[ \t]*([A-Z0-9a-z_]+)[ \t]*=[ \t]*([-0-9]+)[, \t]*'	12,412,759,852,961,1087,1221,1511
'^(?:[78]-?)?(\\d{3})[-\\.]?(\\d{3})[-\\.]?(\\d{4})$'	302,849,878,1012,1086,1158,1495,1634
'(?<!\\\\)([aAbBcdDeEfFgGhHiIjlLmMnNoOPrsStTUuwWyYzZ])'	849,878,1012,1086,1158,1495,1580,1634
'#define[ \t]+([A-Z0-9a-z_]+)[ \t]+([0-9]+)[ \t]*/\\*[ \t]*(.*)[ \t]*\\*/'	12,412,759,852,961,1087,1221,1511
'[ \t]*([A-Z0-9a-z_]+)[ \t]*=[ \t]*([-0-9]+)[, \t]*/\\*[ \t]*(.*)[ \t]*\\*/'	12,412,759,852,961,1087,1221,1511
'^([ABCEGHJKLMNPRSTVXY]\\d[ABCEGHJKLMNPRSTVWXYZ]) *(\\d[ABCEGHJKLMNPRSTVWXYZ]\\d)$'	302,849,878,1012,1086,1158,1495,1634
'\\s*([a-zA-Z_][-.:a-zA-Z_0-9]*)(\\s*=\\s*(\\\'[^\\\']*\\\'|"[^"]*"|[-a-zA-Z0-9./:;+*%?!&$\\(\\)_#=~]*))?'	43,330,412,759,852,961,1221,1511
'(\\\\*)(?:(?::([a-zA-Z_][a-zA-Z_0-9]*)?()(?:#(.*?)#)?)|(?:<([a-zA-Z_][a-zA-Z_0-9]*)?(?::([a-zA-Z_]*)(?::((?:\\\\.|[^\\\\>]+)+)?)?)?>))'	559,921,1047,1095,1234,1277,1580,1592
'(?smx)\n    (<\\?.*?\\?>)?\\s*\n    <!DOCTYPE\\s+(\n     [a-zA-Z_][a-zA-Z0-9]*\\s+\n     [a-zA-Z_][a-zA-Z0-9]*\\s+\n     "[^"]*")\n     [^>]*>\n'	113,147,181,251,498,1087,1267,1555
'\n    ((?P<name>\\w+)\\s*=\\s*)?\n    (?P<value>\n        True|False|\n        \\d+.\\d+|\n        \\d+.|\n        \\d+|\n        \\w+|\n        [urUR]?(?P<stringval>"[^"]*?"|\'[^\']*\')\n    )\\s*,\n'	992,1104,1257,1386,1415,1469,1536,1580
'\n  =\\?                   # literal =?\n  (?P<charset>[^?]*?)   # non-greedy up to the next ? is the charset\n  \\?                    # literal ?\n  (?P<encoding>[qb])    # either a "q" or a "b", case insensitive\n  \\?                    # literal ?\n  (?P<encoded>.*?)      # non-greedy up to the next ?= is the encoded string\n  \\?=                   # literal ?=\n  '	43,412,759,852,961,1221,1511,1580
'[ \n]*{'	12,412,759,852,961,1221,1511
'=[ =]*$'	147,162,181,251,619,1087,1267
'[<>\'"]'	220,454,666,707,927,1003,1247
'-[ -]*$'	147,162,181,251,619,1087,1267
'([\\t ]+)'	173,552,606,800,1223,1420,1469
'[ \\t]*(#)'	261,412,759,852,961,1221,1511
'^[sgydpn]+$'	322,467,505,534,712,1216,1466
'\\s*-[ef]\\s+'	420,543,596,993,1223,1420,1499
'%+ ?(.*)\n[ \t]*'	12,412,759,852,961,1221,1511
'\\+=[=+]+=\\+ *$'	147,162,181,251,619,1087,1267
'[\\\\]end{([^}]*)}'	12,412,759,852,961,1221,1511
'[\\\\]begin{([^}]*)}'	12,412,759,852,961,1221,1511
'([(\\[{])|([)}\\])])'	1025,1082,1322,1326,1482,1504,1505
'^[ ]{0,3}[*+-][ ](.*)'	247,552,606,919,1007,1223,1420
'^[ ]{0,3}\\d+\\.[ ](.*)'	247,552,606,919,1007,1223,1420
'coding[=:]\\s*([-\\w.]+)'	12,53,1054,1087,1147,1258,1594
'^([A-Za-z]:)?[/\\\\\\\\]*'	322,467,505,534,712,1216,1466
'^[a-zA-Z_][a-zA-Z0-9_]*[(]'	322,467,505,534,712,1216,1466
'[ \n]*{(([^{}}]|{[^}]*})*)}'	12,412,759,852,961,1221,1511
'\\s*[-\\w]+\\s*:\\s*[^:;]*;?'	220,454,666,707,927,1003,1247
'([\\d.]+)[^(]*(?:\\((.+)\\))?'	12,412,759,852,961,1221,1511
'^[ ]{4,7}((\\d+\\.)|[*+-])[ ].*'	247,552,606,919,1007,1223,1420
'([\\(,])\\s*(\\d.*?)\\s*([,\\)])'	487,1257,1263,1415,1536,1580,1594
'^[ ]{0,3}((\\d+\\.)|[*+-])[ ](.*)'	247,552,606,919,1007,1223,1420
'^(?P<host>[^:]+):(?P<port>[0-9]+)$'	100,190,200,950,1403,1485,1570
'&(?!#?[xX]?(?:[0-9a-fA-F]+|\\w+);)'	55,200,552,606,1223,1247,1420
'[\\\\]([a-zA-Z]+[*]?) ?({|\\s*\\n?)'	12,412,759,852,961,1221,1511
'(?:\x1b\\[([0-9?;]*)([a-zA-Z])|([^\x1b]+))'	322,467,505,534,712,1216,1466
'(?<!\\\\)([aAbBdDfFgGhHiIjlLmMnNOPrsStTUwWyYzZ])'	82,89,1004,1074,1075,1184,1495
'(?<!\\\\)([aAbBcdDEfFgGhHiIjlLmMnNOPrsStTUuwWyYzZ])'	302,323,355,422,866,1495,1517
'  \\\\item (.*) [(](.*)[)]((?:(?:, \\d+)|(?:, \\\\[a-z]*\\{\\d+\\}))+)'	12,412,759,852,961,1221,1511
'([^\'"<>]|"[^"]*"(?=>|/|\\s|\\w+=)|\'[^\']*\'(?=>|/|\\s|\\w+=))*(?=[<>])|.*?(?=[<>])'	220,454,666,707,927,1003,1247
'^[ \t]*(#|%:)[ \t]*(ifdef|ifndef|if|else|elif|endif|include|import|define|undef|pragma)[ \t]*(.*)\r*$'	322,467,505,534,712,1216,1466
'^\n        (?P<prefix>(?:[^\\r\\n|\\n|\\r])*?)\n        [\\ \\t]*Local\\ Variables:[\\ \\t]*\n        (?P<suffix>.*?)(?:\\r\\n|\\n|\\r)\n        (?P<content>.*?\\1End:)\n        '	305,552,606,1223,1247,1420,1505
'\n    ^\n    [ \\t]*\n    (?: while\n    |   else\n    |   def\n    |   return\n    |   assert\n    |   break\n    |   class\n    |   continue\n    |   elif\n    |   try\n    |   except\n    |   raise\n    |   import\n    |   yield\n    )\n    \\b\n'	12,287,602,1054,1087,1509,1580
'[:]'	171,241,1249,1317,1381,1501
'[<>&]'	305,407,1025,1322,1326,1505
'[\\|,]'	305,407,1025,1322,1326,1505
'[\\\\/]'	241,813,874,927,1249,1269
'([\\"\\\\])'	225,287,510,602,774,1509
'[ \t][ \t]+'	412,759,852,961,1221,1511
'^[\\t ]*\\n?$'	305,1025,1082,1322,1326,1505
'\\r[ \\t]+def '	412,759,852,961,1221,1511
'[\\._]|\\-(?=$)'	84,506,851,1269,1498,1561
'(.*)[\\\\/](.*?)$'	412,759,852,961,1221,1511
'[\\({\\[\\]}\\)\\n]'	167,468,640,659,703,1322
'^[ ]{4,}(?P<value>.*)'	236,247,919,1007,1340,1395
'<\\/([\\w\\:\\-]+)[^>]*>'	305,407,1025,1322,1326,1505
'[-+]?(\\d+|\\d*\\.\\d+)$'	82,89,1004,1074,1075,1495
'return.*[ \\(]..._FAILURE'	412,759,852,961,1221,1511
'&#(\\d+|[xX][0-9a-fA-F]+);'	454,666,707,927,1003,1247
'\\s+select\\s*=\\s*([\\\'"]).*?\\1'	305,407,1025,1322,1326,1505
'/[*] #undef ([A-Z][A-Z0-9_]+) [*]/\n'	412,759,852,961,1221,1511
'(.*?[\\[\\{\\(,])(\\s*)([\\[\\{\\(])'	306,322,534,896,1007,1466
'([\\w\\-]+)\\s*=\\s*([\\\'"])(.*?)\\2'	305,407,1025,1322,1326,1505
'(.*?[\\]\\}\\)],?)(\\s*)([\\]\\}\\)])'	306,322,534,896,1007,1466
'<h2>.+?Revision ([0-9]*): ([^<]*)</h2>'	412,759,852,961,1221,1511
